slice_type,slice_name,n_rows,mean_bias_adjustment,mean_abs_bias_adjustment,mean_bias_samples,mean_delta_mae,bracket_lost_by_calibration_pct,production_status
overall,overall,2848,1.102104242474427,1.102104242474427,727.2247191011236,-0.06231270163454816,19.978932584269664,EXPERIMENT_ONLY
year,2024,1388,1.1338820481471776,1.1338820481471776,727.4121037463977,-0.10294133368698113,18.29971181556196,EXPERIMENT_ONLY
year,2025,1460,1.07189356146499,1.07189356146499,727.0465753424658,-0.023687673354563926,21.575342465753426,EXPERIMENT_ONLY
binary_macro_regime_label,macro_non_southerly,2093,1.1096130123614594,1.1096130123614594,727.1858576206403,-0.08436284973489747,19.541328236980412,EXPERIMENT_ONLY
binary_macro_regime_label,macro_southerly_flow,755,1.081288539992892,1.081288539992892,727.3324503311259,-0.0011856023311957405,21.192052980132452,EXPERIMENT_ONLY
calibration_status,season_bias_corrected,2848,1.102104242474427,1.102104242474427,727.2247191011236,-0.06231270163454816,19.978932584269664,EXPERIMENT_ONLY
