source_id,endpoint,model,calendar_year,month,cp,causal_class,n_probes,n_success,success_pct,production_status
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-04,21:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-04,22:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-04,23:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-07,20:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-07,21:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-07,22:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-07,23:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-10,20:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-10,21:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-10,22:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
previous_runs_gfs_temperature,previous_runs,gfs_seamless,2025,2025-10,23:00,fixed_lead_forecast,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-04,20:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-04,21:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-04,22:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-04,23:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-07,20:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-07,21:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-07,22:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-07,23:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
single_runs_ecmwf_ifs_hres,single_runs,ecmwf_ifs025,2024,2024-10,20:00,forecast_snapshot,1,0,0.0,EXPERIMENT_ONLY
