probe_id,source_id,endpoint,model,date_local,cp,cp_utc,target_valid_time_utc,selected_run_time_utc,selected_available_time_utc,selected_lead_h,causal_class,success,error,production_status
om_probe_00028,historical_forecast_best_match,historical_forecast,best_match,2023-07-15,23:00,2023-07-15T11:00:00+00:00,2023-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00029,historical_forecast_best_match,historical_forecast,best_match,2023-10-15,20:00,2023-10-15T07:00:00+00:00,2023-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00030,historical_forecast_best_match,historical_forecast,best_match,2023-10-15,21:00,2023-10-15T08:00:00+00:00,2023-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00031,historical_forecast_best_match,historical_forecast,best_match,2023-10-15,22:00,2023-10-15T09:00:00+00:00,2023-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00032,historical_forecast_best_match,historical_forecast,best_match,2023-10-15,23:00,2023-10-15T10:00:00+00:00,2023-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00033,historical_forecast_best_match,historical_forecast,best_match,2024-01-15,20:00,2024-01-15T07:00:00+00:00,2024-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00034,historical_forecast_best_match,historical_forecast,best_match,2024-01-15,21:00,2024-01-15T08:00:00+00:00,2024-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00035,historical_forecast_best_match,historical_forecast,best_match,2024-01-15,22:00,2024-01-15T09:00:00+00:00,2024-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00036,historical_forecast_best_match,historical_forecast,best_match,2024-01-15,23:00,2024-01-15T10:00:00+00:00,2024-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00037,historical_forecast_best_match,historical_forecast,best_match,2024-04-15,20:00,2024-04-15T08:00:00+00:00,2024-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00038,historical_forecast_best_match,historical_forecast,best_match,2024-04-15,21:00,2024-04-15T09:00:00+00:00,2024-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00039,historical_forecast_best_match,historical_forecast,best_match,2024-04-15,22:00,2024-04-15T10:00:00+00:00,2024-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00040,historical_forecast_best_match,historical_forecast,best_match,2024-04-15,23:00,2024-04-15T11:00:00+00:00,2024-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00041,historical_forecast_best_match,historical_forecast,best_match,2024-07-15,20:00,2024-07-15T08:00:00+00:00,2024-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00042,historical_forecast_best_match,historical_forecast,best_match,2024-07-15,21:00,2024-07-15T09:00:00+00:00,2024-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00043,historical_forecast_best_match,historical_forecast,best_match,2024-07-15,22:00,2024-07-15T10:00:00+00:00,2024-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
