method,candidate_version,macro_regime_label,cp,n_train,n_test,n_assigned,n_low_confidence,coverage_share,low_confidence_share,mean_entropy,mean_margin,silhouette_score,davies_bouldin_score,calinski_harabasz_score,purity_vs_v21,nmi_vs_v21,ari_vs_v21,temporal_stability,fold_stability,dead_regime_flag,production_status
distance_softmax_v2,v2,macro_southerly_flow,22:00,1393,48,1441,1264,0.06602822580645161,0.8771686328938237,1.3501432505237558,0.31482297782830226,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_southerly_flow,20:00,1433,49,1482,1290,0.06790689149560117,0.8704453441295547,1.3452087211065074,0.31676249190197303,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_southerly_flow,23:00,1397,46,1443,1277,0.06611986803519061,0.884961884961885,1.3577785407776057,0.3097022832760089,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_southerly_flow,21:00,1422,47,1469,1284,0.06731121700879765,0.8740639891082369,1.346548052745719,0.31566521005142933,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_nw_continuum,20:00,3753,97,3850,3676,0.17641129032258066,0.9548051948051948,1.3779742727448825,0.26739094847973216,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_nw_continuum,22:00,3841,102,3943,3753,0.18067265395894427,0.9518133400963733,1.3575169128531008,0.27336857321454683,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_nw_continuum,23:00,3844,105,3949,3769,0.18094758064516128,0.9544188402127121,1.3616218008115348,0.2718306434025565,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_nw_continuum,21:00,3793,103,3896,3698,0.17851906158357772,0.9491786447638604,1.3613638987996153,0.27123681385717946,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_light_marine_or_residual,20:00,116,8,124,116,0.005681818181818182,0.9354838709677419,1.4586718529146296,0.21567296992762983,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
distance_softmax_v2,v2,macro_light_marine_or_residual,23:00,61,3,64,58,0.002932551319648094,0.90625,1.448422628614622,0.26348928229866114,-0.03468917828713762,5.699410665612035,13.256968841658855,0.8603896103896104,0.6732650453321258,0.695594547838266,0.9348791522192164,0.5141972837862826,false,EXPERIMENT_ONLY
