policy_id,n_days,n_cp_rows,mae,exact_bracket_pct,any_cp_exact_pct,cp23_exact_pct,production_status,slice_type,slice_name
always_augmented,542,2093,0.839497654051157,37.649307214524605,55.904059040590404,38.51992409867173,EXPERIMENT_ONLY,binary_macro_regime_label,macro_non_southerly
always_recent,542,2093,0.7857579869405955,38.60487338748208,38.745387453874535,39.08918406072106,EXPERIMENT_ONLY,binary_macro_regime_label,macro_non_southerly
always_season,542,2093,0.7551348043162595,40.850453893932155,40.95940959409594,41.36622390891841,EXPERIMENT_ONLY,binary_macro_regime_label,macro_non_southerly
selected_policy,542,2093,0.7983478656609091,38.9393215480172,39.298892988929886,39.46869070208729,EXPERIMENT_ONLY,binary_macro_regime_label,macro_non_southerly
always_augmented,210,755,0.7806868364592037,43.841059602649004,59.04761904761905,46.486486486486484,EXPERIMENT_ONLY,binary_macro_regime_label,macro_southerly_flow
always_recent,210,755,0.7362128623988224,45.562913907284766,45.23809523809524,44.32432432432432,EXPERIMENT_ONLY,binary_macro_regime_label,macro_southerly_flow
always_season,210,755,0.779501234128008,46.75496688741722,46.666666666666664,45.4054054054054,EXPERIMENT_ONLY,binary_macro_regime_label,macro_southerly_flow
selected_policy,210,755,0.7423159729747808,45.16556291390729,45.714285714285715,43.78378378378378,EXPERIMENT_ONLY,binary_macro_regime_label,macro_southerly_flow
always_augmented,712,712,0.8636268271714594,37.5,37.5,,EXPERIMENT_ONLY,cp,20:00
always_recent,712,712,0.7726236579275905,40.449438202247194,40.449438202247194,,EXPERIMENT_ONLY,cp,20:00
always_season,712,712,0.7615943037923376,42.41573033707865,42.41573033707865,,EXPERIMENT_ONLY,cp,20:00
selected_policy,712,712,0.7834939053455907,40.58988764044944,40.58988764044944,,EXPERIMENT_ONLY,cp,20:00
always_augmented,712,712,0.8199708088841723,39.60674157303371,39.60674157303371,,EXPERIMENT_ONLY,cp,21:00
always_recent,712,712,0.7726236579275905,40.449438202247194,40.449438202247194,,EXPERIMENT_ONLY,cp,21:00
always_season,712,712,0.7615943037923376,42.41573033707865,42.41573033707865,,EXPERIMENT_ONLY,cp,21:00
selected_policy,712,712,0.7834939053455907,40.58988764044944,40.58988764044944,,EXPERIMENT_ONLY,cp,21:00
always_augmented,712,712,0.8102448796913164,39.46629213483146,39.46629213483146,,EXPERIMENT_ONLY,cp,22:00
always_recent,712,712,0.7726236579275905,40.449438202247194,40.449438202247194,,EXPERIMENT_ONLY,cp,22:00
always_season,712,712,0.7615943037923376,42.41573033707865,42.41573033707865,,EXPERIMENT_ONLY,cp,22:00
selected_policy,712,712,0.7834939053455907,40.58988764044944,40.58988764044944,,EXPERIMENT_ONLY,cp,22:00
always_augmented,712,712,0.8017855059605945,40.58988764044944,40.58988764044944,40.58988764044944,EXPERIMENT_ONLY,cp,23:00
always_recent,712,712,0.7726236579275905,40.449438202247194,40.449438202247194,40.449438202247194,EXPERIMENT_ONLY,cp,23:00
always_season,712,712,0.7615943037923376,42.41573033707865,42.41573033707865,42.41573033707865,EXPERIMENT_ONLY,cp,23:00
selected_policy,712,712,0.7834939053455907,40.58988764044944,40.58988764044944,40.58988764044944,EXPERIMENT_ONLY,cp,23:00
always_augmented,12,48,1.7926069318565243,25.0,33.333333333333336,25.0,EXPERIMENT_ONLY,month,2024-01
always_recent,12,48,1.3541666666666667,33.333333333333336,33.333333333333336,33.333333333333336,EXPERIMENT_ONLY,month,2024-01
always_season,12,48,1.729166666666665,0.0,0.0,0.0,EXPERIMENT_ONLY,month,2024-01
selected_policy,12,48,1.729166666666665,0.0,0.0,0.0,EXPERIMENT_ONLY,month,2024-01
always_augmented,29,116,0.8733063973087586,36.206896551724135,48.275862068965516,41.37931034482759,EXPERIMENT_ONLY,month,2024-02
always_recent,29,116,0.7722758620689657,34.48275862068966,34.48275862068966,34.48275862068966,EXPERIMENT_ONLY,month,2024-02
always_season,29,116,1.070689655172414,10.344827586206897,10.344827586206897,10.344827586206897,EXPERIMENT_ONLY,month,2024-02
selected_policy,29,116,1.070689655172414,10.344827586206897,10.344827586206897,10.344827586206897,EXPERIMENT_ONLY,month,2024-02
always_augmented,31,124,0.8852938547393518,34.67741935483871,54.83870967741935,29.032258064516128,EXPERIMENT_ONLY,month,2024-03
always_recent,31,124,0.7330236559139774,45.16129032258065,45.16129032258065,45.16129032258065,EXPERIMENT_ONLY,month,2024-03
always_season,31,124,0.7421309872922783,38.70967741935484,38.70967741935484,38.70967741935484,EXPERIMENT_ONLY,month,2024-03
