binary_macro_regime_label,winner_iteration_id,winner_iteration_label,winner_mae,winner_exact_bracket_pct,n_cp_rows,production_status
macro_non_southerly,onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,1.064892361998118,30.511627906976745,3225,EXPERIMENT_ONLY
macro_southerly_flow,onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,1.0536050413209066,32.01035375323555,1159,EXPERIMENT_ONLY
