model_rank_by_mae,iteration_id,iteration_label,n_days,n_cp_rows,mae,any_cp_exact_pct,cp23_exact_pct,cp_2000_exact_pct,cp_2100_exact_pct,cp_2200_exact_pct,cp_2300_exact_pct,production_status
3,onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,1096,4384,1.172613997446333,45.16423357664234,29.927007299270077,26.094890510948904,27.0985401459854,30.565693430656932,29.927007299270077,EXPERIMENT_ONLY
2,onda3_e_continuous_2012_start,Onda 3E continuous 2012-start,1096,4384,1.170484439111782,45.07299270072993,29.83576642335766,25.91240875912409,27.645985401459853,30.474452554744524,29.83576642335766,EXPERIMENT_ONLY
4,onda3_e_legacy_2009_start,Onda 3E legacy 2009-start,1096,4384,1.172613997446333,45.16423357664234,29.927007299270077,26.094890510948904,27.0985401459854,30.565693430656932,29.927007299270077,EXPERIMENT_ONLY
1,onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,1096,4384,1.0619083280873316,44.43430656934307,31.47810218978102,28.649635036496353,31.569343065693428,31.934306569343068,31.47810218978102,EXPERIMENT_ONLY
