slice_type,slice_name,n_rows,augmented_mae,calibrated_mae,mae_delta_calibrated_minus_augmented,augmented_exact_pct,calibrated_exact_pct,exact_delta_calibrated_minus_augmented_pct,calibrated_wins_mae_pct,augmented_wins_mae_pct,bracket_lost_by_calibration_pct,bracket_gained_by_calibration_pct,augmented_signed_bias,calibrated_signed_bias,production_status
binary_macro_regime_label,macro_non_southerly,2093,0.7763615255791864,0.7857579869405955,0.009396461361409264,40.0382226469183,38.60487338748208,-1.433349259436216,51.3616817964644,48.6383182035356,21.548017200191115,20.1146679407549,-0.024473199931190178,-0.4106025375590592,EXPERIMENT_ONLY
binary_macro_regime_label,macro_southerly_flow,755,0.7185936415604546,0.7362128623988224,0.01761922083836808,46.49006622516556,45.562913907284766,-0.9271523178807947,45.82781456953642,54.17218543046358,20.794701986754966,19.867549668874172,-0.007232796169983336,0.35064323767476074,EXPERIMENT_ONLY
cp,20:00,712,0.7843752253230742,0.7726236579275905,-0.01175156739548373,40.02808988764045,40.449438202247194,0.42134831460674155,52.3876404494382,47.6123595505618,19.803370786516854,20.224719101123597,-0.023599840153434148,-0.20879756554307113,EXPERIMENT_ONLY
cp,21:00,712,0.7588367221257412,0.7726236579275905,0.013786935801849278,41.99438202247191,40.449438202247194,-1.5449438202247192,50.140449438202246,49.859550561797754,21.769662921348313,20.224719101123597,0.0032470990761390033,-0.20879756554307113,EXPERIMENT_ONLY
cp,22:00,712,0.7537272472649847,0.7726236579275905,0.018896410662605834,41.853932584269664,40.449438202247194,-1.404494382022472,49.29775280898876,50.70224719101124,21.48876404494382,20.084269662921347,-0.0363217205726444,-0.20879756554307113,EXPERIMENT_ONLY
cp,23:00,712,0.7472502328358912,0.7726236579275905,0.02537342509169923,43.11797752808989,40.449438202247194,-2.668539325842697,47.752808988764045,52.247191011235955,22.331460674157302,19.662921348314608,-0.022936730153878534,-0.20879756554307113,EXPERIMENT_ONLY
month,2024-01,48,1.7405978982495451,1.3541666666666667,-0.38643123158287845,16.666666666666668,33.333333333333336,16.666666666666668,75.0,25.0,8.333333333333334,25.0,-1.0044280203946163,-0.33749999999999974,EXPERIMENT_ONLY
month,2024-02,116,0.929640622155519,0.7722758620689657,-0.15736476008655378,25.862068965517242,34.48275862068966,8.620689655172415,63.793103448275865,36.206896551724135,14.655172413793103,23.275862068965516,-0.7286462482567239,-0.09796781609195414,EXPERIMENT_ONLY
month,2024-03,124,0.8500342826987185,0.7330236559139774,-0.11701062678474033,43.54838709677419,45.16129032258065,1.6129032258064515,66.12903225806451,33.87096774193548,13.709677419354838,15.32258064516129,-0.45528018090231415,-0.25965591397849414,EXPERIMENT_ONLY
month,2024-04,120,0.8479629271594561,0.8301955555555549,-0.017767371603900718,31.666666666666668,36.666666666666664,5.0,53.333333333333336,46.666666666666664,15.833333333333334,20.833333333333332,-0.30240004176922514,-0.12729777777777743,EXPERIMENT_ONLY
month,2024-05,124,0.6782296170696095,0.611139784946236,-0.06708983212337329,51.61290322580645,51.61290322580645,0.0,58.87096774193548,41.12903225806452,15.32258064516129,15.32258064516129,0.036753013951811055,0.06335483870967751,EXPERIMENT_ONLY
month,2024-06,120,0.5438679801523155,0.6520711111111109,0.10820313095879555,48.333333333333336,43.333333333333336,-5.0,45.0,55.0,22.5,17.5,0.07685830850388113,-0.11233777777777766,EXPERIMENT_ONLY
month,2024-07,124,0.6606275200235376,0.5944602150537632,-0.06616730496977413,47.58064516129032,41.935483870967744,-5.645161290322581,52.41935483870968,47.58064516129032,26.612903225806452,20.967741935483872,0.17383189429021145,-0.12805161290322561,EXPERIMENT_ONLY
