stage,outer_test_year,candidate_id,candidate_label,month,n_days,any_cp_exact_pct,cp23_exact_pct,production_status
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-05,31,51.61290322580645,51.61290322580645,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-06,30,46.666666666666664,46.666666666666664,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-07,31,54.83870967741935,54.83870967741935,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-08,31,51.61290322580645,51.61290322580645,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-09,30,70.0,70.0,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-10,31,48.38709677419355,48.38709677419355,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-11,30,63.33333333333333,63.33333333333333,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,2024-12,31,22.58064516129032,22.58064516129032,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-01,12,33.33333333333333,33.33333333333333,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-02,29,34.48275862068966,34.48275862068966,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-03,31,45.16129032258064,45.16129032258064,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-04,30,36.666666666666664,36.666666666666664,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-05,31,51.61290322580645,51.61290322580645,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-06,30,43.333333333333336,43.333333333333336,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-07,31,41.935483870967744,41.935483870967744,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-08,31,41.935483870967744,41.935483870967744,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-09,30,63.33333333333333,63.33333333333333,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-10,31,32.25806451612903,32.25806451612903,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,2024-11,30,60.0,60.0,EXPERIMENT_ONLY
