outer_test_year,validation_year,selected_candidate_id,selected_candidate_label,selected_validation_mae,selected_validation_any_cp_exact_pct,selected_validation_cp23_exact_pct,selected_test_mae,selected_test_any_cp_exact_pct,selected_test_cp23_exact_pct,validation_candidate_count,test_candidate_count,selection_rule,production_status
2024,2023,om_family_season_bias_corrected,om family season bias corrected,0.8407124877245218,38.18681318681318,38.18681318681318,0.7389864058451955,42.65129682997118,42.65129682997118,10,10,validation_mae_then_non_southerly_guard_then_cp23,EXPERIMENT_ONLY
2025,2024,om_family_recent_bias_corrected,om family recent bias corrected,0.7166820365033622,42.363112391930834,42.363112391930834,0.8258065144596652,38.63013698630137,38.63013698630137,10,10,validation_mae_then_non_southerly_guard_then_cp23,EXPERIMENT_ONLY
