slice_type,slice_name,n_rows,augmented_mae,calibrated_mae,mae_delta_calibrated_minus_augmented,augmented_exact_pct,calibrated_exact_pct,exact_delta_calibrated_minus_augmented_pct,calibrated_wins_mae_pct,augmented_wins_mae_pct,bracket_lost_by_calibration_pct,bracket_gained_by_calibration_pct,augmented_signed_bias,calibrated_signed_bias,production_status
binary_macro_regime_label,macro_non_southerly,2093,0.839497654051157,0.7857579869405955,-0.053739667110561384,37.649307214524605,38.60487338748208,0.9555661729574773,52.17391304347826,47.82608695652174,22.36024844720497,23.315814620162445,0.07952908540064071,-0.4106025375590592,EXPERIMENT_ONLY
binary_macro_regime_label,macro_southerly_flow,755,0.7806868364592037,0.7362128623988224,-0.04447397406038111,43.841059602649004,45.562913907284766,1.7218543046357615,50.33112582781457,49.66887417218543,22.251655629139073,23.973509933774835,-0.13452641617065017,0.35064323767476074,EXPERIMENT_ONLY
cp,20:00,712,0.8636268271714594,0.7726236579275905,-0.09100316924386903,37.5,40.449438202247194,2.949438202247191,54.353932584269664,45.646067415730336,20.50561797752809,23.45505617977528,-0.042148619545723603,-0.20879756554307113,EXPERIMENT_ONLY
cp,21:00,712,0.8199708088841723,0.7726236579275905,-0.047347150956581735,39.60674157303371,40.449438202247194,0.8426966292134831,51.54494382022472,48.45505617977528,22.89325842696629,23.735955056179776,0.11029597020905385,-0.20879756554307113,EXPERIMENT_ONLY
cp,22:00,712,0.8102448796913164,0.7726236579275905,-0.037621221763725954,39.46629213483146,40.449438202247194,0.9831460674157303,50.42134831460674,49.57865168539326,21.910112359550563,22.89325842696629,-0.060354425290701,-0.20879756554307113,EXPERIMENT_ONLY
cp,23:00,712,0.8017855059605945,0.7726236579275905,-0.029161848033004055,40.58988764044944,40.449438202247194,-0.1404494382022472,50.42134831460674,49.57865168539326,24.01685393258427,23.876404494382022,0.08334040543453385,-0.20879756554307113,EXPERIMENT_ONLY
month,2024-01,48,1.7926069318565243,1.3541666666666667,-0.4384402651898574,25.0,33.333333333333336,8.333333333333334,72.91666666666667,27.083333333333332,16.666666666666668,25.0,-1.2151714171150338,-0.33749999999999974,EXPERIMENT_ONLY
month,2024-02,116,0.8733063973087586,0.7722758620689657,-0.10103053523979307,36.206896551724135,34.48275862068966,-1.7241379310344827,51.724137931034484,48.275862068965516,18.103448275862068,16.379310344827587,-0.44646700127418043,-0.09796781609195414,EXPERIMENT_ONLY
month,2024-03,124,0.8852938547393518,0.7330236559139774,-0.1522701988253729,34.67741935483871,45.16129032258065,10.483870967741936,61.29032258064516,38.70967741935484,12.903225806451612,23.387096774193548,-0.10847698375305528,-0.25965591397849414,EXPERIMENT_ONLY
month,2024-04,120,0.8215751974086049,0.8301955555555549,0.008620358146950597,48.333333333333336,36.666666666666664,-11.666666666666666,44.166666666666664,55.833333333333336,31.666666666666668,20.0,-0.00021802999819845088,-0.12729777777777743,EXPERIMENT_ONLY
month,2024-05,124,0.8099931471868707,0.611139784946236,-0.19885336224063452,30.64516129032258,51.61290322580645,20.967741935483872,64.51612903225806,35.483870967741936,8.870967741935484,29.838709677419356,0.2894850730413546,0.06335483870967751,EXPERIMENT_ONLY
month,2024-06,120,0.7025386337634896,0.6520711111111109,-0.0504675226523782,39.166666666666664,43.333333333333336,4.166666666666667,55.833333333333336,44.166666666666664,27.5,31.666666666666668,0.14498164604511282,-0.11233777777777766,EXPERIMENT_ONLY
month,2024-07,124,0.7413436064522545,0.5944602150537632,-0.14688339139849127,38.70967741935484,41.935483870967744,3.225806451612903,58.87096774193548,41.12903225806452,20.967741935483872,24.193548387096776,-0.04811899138908713,-0.12805161290322561,EXPERIMENT_ONLY
month,2024-08,124,0.7429997910472173,0.6019268817204306,-0.14107290932678668,41.935483870967744,41.935483870967744,0.0,58.064516129032256,41.935483870967744,22.580645161290324,22.580645161290324,-0.06637092488866388,-0.3967139784946241,EXPERIMENT_ONLY
month,2024-09,120,0.871775310696711,0.4711199999999996,-0.40065531069671134,35.833333333333336,63.333333333333336,27.5,75.83333333333333,24.166666666666668,7.5,35.0,-0.10754505363922083,-0.20230222222222222,EXPERIMENT_ONLY
