method,candidate_version,macro_count,dead_regimes,low_confidence_share,classifiability_score,predictive_auc,stability_score,temporal_stability,decision_update,production_status
distance_softmax_binary,binary_v1,2,0,0.0,0.044538518244898136,0.9886229541839824,0.8089405574067724,0.9916603379035259,READY_FOR_ONDA3_DESIGN_REVIEW,EXPERIMENT_ONLY
train_only_gmm,binary_v1,2,0,0.04298020527859238,0.2048784137567998,0.0,0.1339673639823489,0.9692282148239885,KEEP_IN_REGIME_DESIGN_REVIEW,EXPERIMENT_ONLY
som_topological,binary_v1,2,0,0.0,0.04597858002601508,0.0,0.7855347512929963,0.9920950485945739,KEEP_IN_REGIME_DESIGN_REVIEW,EXPERIMENT_ONLY
michelangeli_stability,binary_v1,2,0,0.0,0.04597858002601508,0.0,0.7855347512929963,0.9920950485945739,KEEP_IN_REGIME_DESIGN_REVIEW,EXPERIMENT_ONLY
