macro_regime_label,subtype_label,latent_component_id,source_candidate_id,stratum_type,stratum_value,n_source_rows,production_status
macro_light_marine_or_residual,subtype_transition_low_confidence,RDC-V1-MONTH-4-C05,RDC-V1-MONTH-4-C05,month,4,225,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-5-C00,RDC-V1-MONTH-5-C00,month,5,204,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-5-C01,RDC-V1-MONTH-5-C01,month,5,307,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-5-C02,RDC-V1-MONTH-5-C02,month,5,269,NOT_PRODUCTION
macro_light_marine_or_residual,subtype_transition_low_confidence,RDC-V1-MONTH-5-C03,RDC-V1-MONTH-5-C03,month,5,221,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-5-C04,RDC-V1-MONTH-5-C04,month,5,334,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-5-C05,RDC-V1-MONTH-5-C05,month,5,360,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-6-C00,RDC-V1-MONTH-6-C00,month,6,204,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-6-C01,RDC-V1-MONTH-6-C01,month,6,224,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-6-C02,RDC-V1-MONTH-6-C02,month,6,283,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-6-C03,RDC-V1-MONTH-6-C03,month,6,328,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-6-C04,RDC-V1-MONTH-6-C04,month,6,239,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-6-C05,RDC-V1-MONTH-6-C05,month,6,280,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-7-C00,RDC-V1-MONTH-7-C00,month,7,172,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-7-C01,RDC-V1-MONTH-7-C01,month,7,302,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-7-C02,RDC-V1-MONTH-7-C02,month,7,225,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-7-C03,RDC-V1-MONTH-7-C03,month,7,392,NOT_PRODUCTION
