candidate_regime_label,candidate_regime_family,source_candidate_ids,n_candidate_centroids,total_candidate_rows,mean_interpretability_score,production_status
candidate_maritime_cloudy,candidate_maritime_cloudy,RDC-V1-MONTH-2-C02,1,261,0.3,NOT_PRODUCTION
candidate_mixed_or_transition,candidate_mixed_or_transition,RDC-V1-MONTH-12-C02;RDC-V1-MONTH-4-C05;RDC-V1-MONTH-5-C03;RDC-V1-MONTH-8-C00;RDC-V1-SEASON-JJA-C05;RDC-V1-SEASON-MAM-C00,6,1937,0.20000000000000004,NOT_PRODUCTION
candidate_nw_or_foehn,candidate_nw_or_foehn,RDC-V1-MONTH-1-C02;RDC-V1-MONTH-1-C03;RDC-V1-MONTH-1-C04;RDC-V1-MONTH-10-C00;RDC-V1-MONTH-10-C01;RDC-V1-MONTH-10-C02;RDC-V1-MONTH-10-C04;RDC-V1-MONTH-11-C00;RDC-V1-MONTH-11-C01;RDC-V1-MONTH-11-C03;RDC-V1-MONTH-11-C04;RDC-V1-MONTH-12-C01;RDC-V1-MONTH-12-C04;RDC-V1-MONTH-12-C05;RDC-V1-MONTH-2-C01;RDC-V1-MONTH-2-C03;RDC-V1-MONTH-2-C04;RDC-V1-MONTH-3-C01;RDC-V1-MONTH-3-C03;RDC-V1-MONTH-3-C04;RDC-V1-MONTH-4-C00;RDC-V1-MONTH-4-C01;RDC-V1-MONTH-4-C04;RDC-V1-MONTH-5-C00;RDC-V1-MONTH-5-C01;RDC-V1-MONTH-5-C04;RDC-V1-MONTH-5-C05;RDC-V1-MONTH-6-C00;RDC-V1-MONTH-6-C02;RDC-V1-MONTH-6-C03;RDC-V1-MONTH-6-C04;RDC-V1-MONTH-7-C01;RDC-V1-MONTH-7-C03;RDC-V1-MONTH-7-C04;RDC-V1-MONTH-8-C01;RDC-V1-MONTH-8-C02;RDC-V1-MONTH-8-C04;RDC-V1-MONTH-8-C05;RDC-V1-MONTH-9-C00;RDC-V1-MONTH-9-C01;RDC-V1-MONTH-9-C03;RDC-V1-MONTH-9-C04;RDC-V1-SEASON-DJF-C01;RDC-V1-SEASON-DJF-C02;RDC-V1-SEASON-DJF-C03;RDC-V1-SEASON-DJF-C04;RDC-V1-SEASON-JJA-C00;RDC-V1-SEASON-JJA-C03;RDC-V1-SEASON-JJA-C04;RDC-V1-SEASON-MAM-C01;RDC-V1-SEASON-MAM-C03;RDC-V1-SEASON-MAM-C05;RDC-V1-SEASON-SON-C00;RDC-V1-SEASON-SON-C02;RDC-V1-SEASON-SON-C03;RDC-V1-SEASON-SON-C04,56,25580,0.40267857142857144,NOT_PRODUCTION
candidate_southerly_disrupted,candidate_southerly_disrupted,RDC-V1-MONTH-1-C00;RDC-V1-MONTH-1-C01;RDC-V1-MONTH-1-C05;RDC-V1-MONTH-10-C03;RDC-V1-MONTH-10-C05;RDC-V1-MONTH-11-C02;RDC-V1-MONTH-11-C05;RDC-V1-MONTH-12-C00;RDC-V1-MONTH-12-C03;RDC-V1-MONTH-2-C00;RDC-V1-MONTH-2-C05;RDC-V1-MONTH-3-C00;RDC-V1-MONTH-3-C02;RDC-V1-MONTH-3-C05;RDC-V1-MONTH-4-C02;RDC-V1-MONTH-4-C03;RDC-V1-MONTH-5-C02;RDC-V1-MONTH-6-C01;RDC-V1-MONTH-6-C05;RDC-V1-MONTH-7-C00;RDC-V1-MONTH-7-C02;RDC-V1-MONTH-7-C05;RDC-V1-MONTH-8-C03;RDC-V1-MONTH-9-C02;RDC-V1-MONTH-9-C05;RDC-V1-SEASON-DJF-C00;RDC-V1-SEASON-DJF-C05;RDC-V1-SEASON-JJA-C01;RDC-V1-SEASON-JJA-C02;RDC-V1-SEASON-MAM-C02;RDC-V1-SEASON-MAM-C04;RDC-V1-SEASON-SON-C01;RDC-V1-SEASON-SON-C05,33,10742,0.5181818181818181,NOT_PRODUCTION
