experiment_id,candidate_version,macro_regime_label,month,cp,n_assignment_rows,n_unique_days,date_window_start,date_window_end,remaining_warming_p10,remaining_warming_p25,remaining_warming_p50,remaining_warming_p75,remaining_warming_p90,remaining_warming_mean,remaining_warming_std,tmax_int_p50,tmax_hour_p10,tmax_hour_p50,tmax_hour_p90,tmax_hour_before_13_share,tmax_hour_13_17_share,tmax_hour_after_17_share,underpowered_n_lt_min_cell,causal_role,diagnostic_note,production_status
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,20:00,74,74,2014-04-01,2025-04-25,1.0,3.0,4.0,6.0,8.0,4.527027027027027,2.36540692999429,18.0,10.0,12.0,14.0,0.581081081081081,0.40540540540540543,0.013513513513513514,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,21:00,72,72,2014-04-01,2025-04-25,1.0,3.0,4.0,5.0,6.0,3.8194444444444446,1.8562903252234002,18.0,10.0,12.0,14.0,0.5972222222222222,0.3888888888888889,0.013888888888888888,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,22:00,57,57,2014-04-01,2025-04-25,1.0,2.0,3.0,4.0,5.0,2.7719298245614037,1.4640641069547409,18.0,10.0,12.0,14.0,0.5614035087719298,0.42105263157894735,0.017543859649122806,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,23:00,47,47,2014-04-01,2025-04-19,0.0,1.0,2.0,2.0,3.0,1.574468085106383,1.2112638180853812,17.0,10.0,12.0,15.0,0.574468085106383,0.40425531914893614,0.02127659574468085,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,20:00,67,67,2014-05-02,2025-05-27,1.0,2.0,5.0,7.0,7.0,4.582089552238806,2.5414697115820974,15.0,10.0,12.0,14.0,0.5223880597014925,0.43283582089552236,0.04477611940298507,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,21:00,64,64,2014-05-02,2025-05-27,1.0,2.0,4.0,6.0,7.0,4.171875,2.340497081241843,15.0,10.0,12.0,14.0,0.53125,0.421875,0.046875,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,22:00,58,58,2014-05-02,2025-05-27,1.0,2.0,3.0,5.0,5.0,3.2758620689655173,1.8141075177354886,15.0,11.0,12.0,14.0,0.5344827586206896,0.41379310344827586,0.05172413793103448,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,23:00,54,54,2014-05-02,2025-05-27,1.0,1.0,2.0,3.0,4.0,2.111111111111111,1.2836661334390513,16.0,11.0,13.0,14.0,0.5,0.42592592592592593,0.07407407407407407,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,6,20:00,89,89,2014-06-01,2025-06-28,1.0,3.0,5.0,6.0,7.0,4.370786516853933,2.312918377248998,14.0,10.0,12.0,14.0,0.5168539325842697,0.449438202247191,0.033707865168539325,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,6,21:00,90,90,2014-06-01,2025-06-28,1.0,2.0,4.0,6.0,7.0,4.088888888888889,2.2267245277193735,14.0,10.0,12.0,14.0,0.5444444444444444,0.4222222222222222,0.03333333333333333,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,6,22:00,85,85,2014-06-01,2025-06-28,1.0,2.0,3.0,5.0,5.0,3.211764705882353,1.7934677612503265,14.0,10.0,12.0,14.0,0.5529411764705883,0.4117647058823529,0.03529411764705882,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,6,23:00,73,73,2014-06-01,2025-06-28,0.0,1.0,2.0,4.0,4.0,2.3424657534246576,1.511246524508381,14.0,9.0,12.0,14.0,0.5342465753424658,0.4246575342465753,0.0410958904109589,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,7,20:00,80,80,2014-07-08,2025-07-24,1.0,3.0,5.0,6.0,7.0,4.4875,2.181590118018959,13.0,11.0,13.0,14.0,0.4125,0.5875,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,7,21:00,74,74,2014-07-08,2025-07-24,2.0,3.0,5.0,6.0,7.0,4.45945945945946,2.0149386556431894,13.0,11.0,13.0,15.0,0.3783783783783784,0.6216216216216216,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,7,22:00,73,73,2014-07-08,2025-07-24,1.0,3.0,4.0,5.0,6.0,3.643835616438356,1.6276249142513237,13.0,11.0,13.0,14.0,0.410958904109589,0.589041095890411,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,7,23:00,68,68,2014-07-08,2025-07-24,1.0,2.0,3.0,3.0,4.0,2.6470588235294117,1.2668530275857073,13.0,11.0,13.0,15.0,0.38235294117647056,0.6176470588235294,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,8,20:00,74,74,2014-08-05,2025-08-26,2.0,3.0,5.0,7.0,8.0,5.0,2.275539978066925,13.0,11.0,12.0,14.0,0.6216216216216216,0.3783783783783784,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,8,21:00,66,66,2014-08-05,2025-08-26,2.0,3.0,5.0,6.0,7.0,4.454545454545454,2.016713382494614,13.0,11.0,12.0,14.0,0.6212121212121212,0.3787878787878788,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,8,22:00,57,57,2014-08-05,2025-08-26,2.0,2.0,4.0,4.0,5.0,3.4035087719298245,1.5219776739821942,13.0,11.0,12.0,14.0,0.5964912280701754,0.40350877192982454,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,8,23:00,45,45,2014-08-05,2025-08-26,1.0,1.0,2.0,3.0,4.0,2.2888888888888888,1.1797962501716948,13.0,11.0,12.0,14.0,0.5555555555555556,0.4444444444444444,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,9,20:00,45,45,2014-09-01,2025-09-01,3.0,4.0,5.0,7.0,8.0,5.2,2.1383936196891518,15.0,10.0,13.0,16.0,0.4888888888888889,0.4444444444444444,0.06666666666666667,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,9,21:00,38,38,2014-09-01,2025-09-01,1.0,4.0,4.0,5.0,7.0,4.2105263157894735,2.028951196738902,15.0,10.0,13.0,16.0,0.4473684210526316,0.5,0.05263157894736842,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,9,22:00,30,30,2014-09-01,2025-09-01,1.0,2.0,3.0,4.0,5.0,3.2333333333333334,1.7943077299853158,15.0,10.0,13.0,16.0,0.36666666666666664,0.5666666666666667,0.06666666666666667,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,9,23:00,17,17,2014-09-01,2023-09-28,0.0,1.0,2.0,3.0,4.0,2.0588235294117645,1.5996323106926056,15.0,10.0,13.0,14.0,0.29411764705882354,0.7058823529411765,0.0,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
