experiment_id,test_year,cp,month,feature_column,train_rows,test_rows,baseline_mae,candidate_mae,mae_delta,slope,intercept,production_status
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,1,cloud_cover_suppression,338,25,1.8662721893491123,1.791263415228992,0.07500877412012041,-1.3412848192043538,4.4807079687128075,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,2,cloud_cover_suppression,299,27,1.750402576489533,1.7156977651434477,0.034704811346085274,-1.8980939521819338,4.883765134792196,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,3,cloud_cover_suppression,338,30,1.5,1.6301380858132002,-0.1301380858132002,-2.6754377437580477,5.436792056647141,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,4,cloud_cover_suppression,318,26,1.518867924528302,1.449493935207576,0.06937398932072614,-2.138614136378315,4.24533306484931,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,5,cloud_cover_suppression,334,28,1.2859281437125747,1.2439375989718857,0.04199054474068897,-3.025396484359466,4.727476187065826,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,6,cloud_cover_suppression,324,27,1.149519890260631,1.237995383412262,-0.08847549315163095,-2.6210078364052447,4.160888361578103,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,7,cloud_cover_suppression,321,30,1.497403946002077,1.2594220041026754,0.23798194189940158,-2.7632621675198887,4.416261611769672,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,8,cloud_cover_suppression,346,26,1.5820364606491775,1.3595234261936038,0.2225130344555737,-2.704019824675303,4.670710615780522,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,9,cloud_cover_suppression,353,26,1.658095445630856,1.5213059159511064,0.13678952967974967,-2.1428344222163336,4.3259626089532714,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,10,cloud_cover_suppression,371,30,1.4180592991913745,1.3531785836762684,0.0648807155151061,-1.7701903292181036,4.3017939814814765,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,11,cloud_cover_suppression,358,28,1.0841979249800477,1.0482460636289497,0.03595186135109807,-1.1146967466235977,3.770433807844145,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,20:00,12,cloud_cover_suppression,392,30,1.2102040816326531,1.20851088645376,0.0016931951788932142,-2.164345141712838,4.848359017661427,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,1,cloud_cover_suppression,341,27,1.7064190289996743,1.6978340318779013,0.008584997121773075,-0.7622185969157056,3.3521451731243435,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,2,cloud_cover_suppression,302,27,1.328795683100319,1.3332659450934161,-0.004470261993097191,-1.011110021961428,3.5822856987926395,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,3,cloud_cover_suppression,343,30,1.4853255587949468,1.4426392660109437,0.042686292784003044,-2.1319633005471856,4.578902696876491,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,4,cloud_cover_suppression,324,26,1.3105413105413106,1.3269051633952587,-0.016363852853948035,-2.4132149288952416,4.26962884762674,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,5,cloud_cover_suppression,340,28,1.203781512605042,1.1821193811855701,0.02166213141947182,-2.912433880428521,4.5599494005813215,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,6,cloud_cover_suppression,330,28,1.293290043290043,1.3427660274237445,-0.04947598413370158,-2.687584323312147,4.157618371710943,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,7,cloud_cover_suppression,327,30,1.3821610601427115,1.135443214009786,0.24671784613292536,-2.6679629152716977,4.314857927719115,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,8,cloud_cover_suppression,350,27,1.4303703703703703,1.2050278221470554,0.2253425482233149,-3.0060133421028006,4.842365874283583,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,9,cloud_cover_suppression,356,27,1.286828963795256,1.2286689067091274,0.05816005708612848,-1.6537216985794407,3.5727732759081676,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,10,cloud_cover_suppression,371,31,1.1276410746891574,1.0498824871525787,0.07775858753657872,-1.3117963684340985,3.342997512665729,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,11,cloud_cover_suppression,365,28,0.9867906066536202,0.9972131769299111,-0.010422570276290899,-0.45375364525535944,2.648393506929208,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,21:00,12,cloud_cover_suppression,396,30,0.9752525252525253,0.9067137581435727,0.06853876710895257,-1.5956115094147745,3.7754446884956594,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,1,cloud_cover_suppression,344,27,1.5588931955211025,1.5417772534370988,0.017115942084003688,-0.27228375451952386,2.3223094168264615,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,2,cloud_cover_suppression,305,27,0.9673345476624164,0.9619527260711364,0.005381821591280089,-0.4488099918766635,2.416933258739514,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,3,cloud_cover_suppression,345,30,1.176328502415459,1.1684712864451312,0.007857215970327847,-1.3675391220052584,3.275898195480567,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,4,cloud_cover_suppression,326,26,0.8475696083058047,0.8765446596681079,-0.02897505136230316,-1.5715637088464318,3.06724775756347,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,5,cloud_cover_suppression,342,28,0.9674185463659148,0.9359083146370637,0.031510231728851146,-2.3628972516482643,3.7503509519223557,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,6,cloud_cover_suppression,335,29,1.24601132269686,1.2608334306773428,-0.014822107980482668,-2.0869098410199625,3.4032308691547573,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,7,cloud_cover_suppression,330,30,1.1842424242424243,0.9710123047138267,0.2132301195285976,-1.7506868330843566,3.2482718492080522,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,8,cloud_cover_suppression,356,29,1.1086788066640836,1.018257167296886,0.09042163936719749,-2.244041628669513,3.727211033099208,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,9,cloud_cover_suppression,361,27,1.1127526418385143,1.1152485333731368,-0.0024958915346224853,-0.9087991952402016,2.4403255329782763,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,10,cloud_cover_suppression,374,31,0.9289287562532343,0.8610461350178168,0.06788262123541755,-0.7253074468744167,2.2392955052351105,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,11,cloud_cover_suppression,369,29,0.9120642930567238,0.9113070214063066,0.0007572716504171684,-0.040326269873668566,1.7442607155499363,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,22:00,12,cloud_cover_suppression,397,30,0.8575986565910999,0.8530127494625489,0.004585907128551003,-1.2184359841370411,2.93694010089247,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,1,cloud_cover_suppression,345,28,1.3050724637681161,1.2855758446616068,0.01949661910650935,-0.30867383523539865,1.8782970444033533,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,2,cloud_cover_suppression,308,27,0.9054834054834054,0.9028624628264903,0.0026209426569151484,-0.15529575443467103,1.5791709770803128,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,3,cloud_cover_suppression,350,30,1.0666666666666667,1.0638204501779152,0.0028462164887514962,-0.1707729893250908,1.6100118730514281,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,4,cloud_cover_suppression,327,27,0.6085626911314984,0.5580605012463479,0.05050218988515054,-0.5643384818326622,1.5912463875686411,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,5,cloud_cover_suppression,349,28,0.6944330740892345,0.6287879297897679,0.06564514429946655,-1.5679936722136443,2.592352138353797,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,6,cloud_cover_suppression,337,29,0.9753402230635423,0.970781450987721,0.004558772075821338,-1.5765596051212571,2.565100206011672,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,7,cloud_cover_suppression,334,30,0.7912175648702596,0.6893950194302013,0.10182254544005831,-1.0086622889860488,2.1705521593309323,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,8,cloud_cover_suppression,359,29,0.8975122466621843,0.8302929877063485,0.0672192589558358,-1.160976788924754,2.314522407828005,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,9,cloud_cover_suppression,363,28,0.8031286894923257,0.8112262475380883,-0.00809755804576251,-0.24604956644880766,1.3559706679432526,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,10,cloud_cover_suppression,376,31,0.704958819492107,0.6723231538147588,0.03263566567734821,-0.5315837327210231,1.5795507081105216,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,11,cloud_cover_suppression,374,29,0.7565922920892494,0.7606057713216189,-0.004013479232369499,0.05244917857012858,1.1319799414401783,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2024,23:00,12,cloud_cover_suppression,401,30,0.7887780548628427,0.6796950771340692,0.10908297772877351,-1.326944160435583,2.585890439645722,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,1,cloud_cover_suppression,363,28,1.6969696969696968,1.6032400852505568,0.09372961171913996,-1.4503581845373352,4.63093910174314,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,2,cloud_cover_suppression,326,23,1.4191784475860232,1.275705569253638,0.1434728783323851,-1.9008033249160234,4.9480489147419044,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,3,cloud_cover_suppression,368,31,1.6403401122019634,1.4725954734567144,0.16774463874524903,-2.4049462893607205,5.237773333601143,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,4,cloud_cover_suppression,344,27,1.536929371231697,1.4178764007729276,0.11905297045876928,-2.0865018156564568,4.2470162706163235,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,5,cloud_cover_suppression,362,26,1.3697407564810882,1.138498888799532,0.2312418676815562,-3.1030827623921153,4.837134793639381,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,6,cloud_cover_suppression,351,27,1.40582462804685,1.3834801395063165,0.022344488540533503,-2.5441528566409968,4.109647267178186,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,7,cloud_cover_suppression,351,26,1.2394258163488934,1.0264888005836519,0.2129370157652415,-2.8741941232167028,4.520534897390343,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,8,cloud_cover_suppression,372,24,1.7983870967741937,1.548492393032082,0.24989470374211176,-2.841616716466693,4.799651339794728,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,9,cloud_cover_suppression,379,26,1.4163791353764965,1.4752232929080291,-0.058844157531532604,-2.2372037437391725,4.390852009507059,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,10,cloud_cover_suppression,401,25,1.3701745635910223,1.201248124431752,0.1689264391592702,-1.7993811322017697,4.306572088755525,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,11,cloud_cover_suppression,386,29,1.0234053957477223,1.0314902806234445,-0.008084884875722231,-1.1334026461970952,3.7822958629863517,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,20:00,12,cloud_cover_suppression,422,29,1.2154763850302337,1.350840431666498,-0.13536404663626422,-2.1905808942975185,4.8742625793160546,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,1,cloud_cover_suppression,368,28,1.5188276397515528,1.5175764034189556,0.001251236332597161,-0.7674249506596077,3.417566479692537,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,2,cloud_cover_suppression,329,23,1.2241310955464515,1.165111878169062,0.05901921737738958,-1.0078953236170498,3.614985694884033,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,3,cloud_cover_suppression,373,31,1.2824526506961862,1.211232417670034,0.07122023302615221,-1.9497455268642354,4.451795052228948,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,4,cloud_cover_suppression,350,28,1.3789795918367347,1.2039750091542085,0.17500458268252617,-2.343090443058456,4.243127217657411,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,5,cloud_cover_suppression,368,27,1.2982085346215781,1.092196185283556,0.20601234933802215,-2.917757575375229,4.60169897859402,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,6,cloud_cover_suppression,358,27,1.4859300641423547,1.3143201251291776,0.17160993901317712,-2.6959823741925475,4.1889247148703,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,7,cloud_cover_suppression,357,26,1.1053652230122817,0.9779590837603641,0.12740613925191757,-2.822412504138101,4.453164656867718,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,8,cloud_cover_suppression,377,24,1.6416887709991157,1.4345752626181423,0.20711350838097342,-3.0693965780617236,4.898179045091777,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,9,cloud_cover_suppression,383,27,1.2049124842858523,1.285594084252966,-0.08068159996711377,-1.70998048331998,3.5995529606720944,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,10,cloud_cover_suppression,402,25,1.0799004975124378,0.9922944417771447,0.08760605573529312,-1.3323801146432368,3.3484189536322164,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,11,cloud_cover_suppression,393,30,0.8524173027989822,0.8285784344384866,0.023838868360495646,-0.3705230478811428,2.5782567534527754,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,21:00,12,cloud_cover_suppression,426,29,1.2347417840375585,1.2248896288762465,0.009852155161311993,-1.6226473134125492,3.794459904473707,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,22:00,1,cloud_cover_suppression,371,28,1.1683673469387756,1.159735015829294,0.008632331109481584,-0.2433120487458794,2.350820082634281,EXPERIMENT_ONLY
BEXP-CLOUD-COVER-SUPPRESSION-001,2025,22:00,2,cloud_cover_suppression,332,23,1.1540073336825565,1.1224361975571506,0.03157113612540585,-0.504014668142291,2.4863762570709085,EXPERIMENT_ONLY
