candidate_version,macro_regime_label,assignment_rows,absorbed_residual_rows,r2_rows,r2_pass_rows,r2_dead_status,v2_dead_regimes,v21_dead_regimes,protected_regression_flag,decision_update,production_status
v2.1,macro_nw_continuum,15879,241,92,3,PASS,1,0,false,READY_FOR_FULL_ONDA4_RERUN,EXPERIMENT_ONLY
v2.1,macro_southerly_flow,5945,110,92,45,PASS,1,0,false,READY_FOR_FULL_ONDA4_RERUN,EXPERIMENT_ONLY
