slice_type,slice_name,n_rows,mean_bias_adjustment,mean_abs_bias_adjustment,mean_bias_samples,mean_delta_mae,bracket_lost_by_calibration_pct,production_status
overall,overall,2848,1.0845590872756754,1.0845590872756754,642.8258426966293,0.0008534932843248518,18.75,EXPERIMENT_ONLY
year,2024,1388,1.0978816144252435,1.0978816144252435,554.2363112391931,-0.019336927723737983,19.812680115273775,EXPERIMENT_ONLY
year,2025,1460,1.07189356146499,1.07189356146499,727.0465753424658,0.020048222297469522,17.73972602739726,EXPERIMENT_ONLY
binary_macro_regime_label,macro_non_southerly,2093,1.091807774790931,1.091807774790931,638.3984710941232,-0.018473859185534052,18.442427138079314,EXPERIMENT_ONLY
binary_macro_regime_label,macro_southerly_flow,755,1.0644643813559007,1.0644643813559007,655.0993377483444,0.05443249821070192,19.602649006622517,EXPERIMENT_ONLY
calibration_status,season_bias_corrected,2848,1.0845590872756754,1.0845590872756754,642.8258426966293,0.0008534932843248518,18.75,EXPERIMENT_ONLY
