iteration_id,iteration_label,month,cp,n_cp_rows,exact_bracket_rows,exact_bracket_pct,mae,variant_id,train_start,production_status
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-09,22:00,30,11,36.666666666666664,0.9011363659728069,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-09,23:00,30,10,33.33333333333333,0.9195874123925513,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-10,20:00,31,4,12.903225806451612,1.5516334769956484,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-10,21:00,31,6,19.35483870967742,1.2166193059479682,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-10,22:00,31,4,12.903225806451612,1.2189079631852526,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-10,23:00,31,4,12.903225806451612,1.239282625897192,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-11,20:00,30,7,23.333333333333332,1.200918696975132,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-11,21:00,30,7,23.333333333333332,0.9720678702043118,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-11,22:00,30,9,30.0,0.8929296614736967,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-11,23:00,30,9,30.0,0.9237929038426652,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-12,20:00,31,6,19.35483870967742,1.4042780079375377,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-12,21:00,31,9,29.03225806451613,1.2576061639422516,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-12,22:00,31,9,29.03225806451613,1.2831584376504979,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2023-12,23:00,31,9,29.03225806451613,1.3108641031835797,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-01,20:00,31,5,16.129032258064516,2.064006503597319,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-01,21:00,31,6,19.35483870967742,1.6980175480731088,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-01,22:00,31,5,16.129032258064516,1.7041440788237263,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-01,23:00,31,6,19.35483870967742,1.720797102279797,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-02,20:00,29,7,24.137931034482758,1.5119891393020364,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-02,21:00,29,4,13.793103448275861,1.463654540910735,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-02,22:00,29,5,17.24137931034483,1.397781521693683,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
continuous_2012_start,Onda 3E continuous 2012-start binary-macro interactions,2024-02,23:00,29,6,20.689655172413794,1.3718375470014765,continuous_2012_start,2012-01-01,EXPERIMENT_ONLY
