iteration_id,iteration_label,n_days,n_cp_rows,mae,any_cp_exact_pct,cp23_exact_pct,cp_2000_exact_pct,cp_2100_exact_pct,cp_2200_exact_pct,cp_2300_exact_pct
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,519,2076,1.2708495546849912,43.93063583815029,29.28709055876686,25.626204238921,26.78227360308285,31.79190751445087,29.28709055876686
onda3_c_rolling_temporal,Onda 3C rolling temporal no-interaction,1096,4384,1.2025741670844043,44.89051094890511,29.653284671532848,24.72627737226277,27.82846715328467,30.748175182481752,29.653284671532848
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,1096,4384,1.172613997446333,45.16423357664234,29.927007299270077,26.094890510948904,27.0985401459854,30.565693430656932,29.927007299270077
