iteration_id,iteration_label,test_year,cp,model_name,n_train,n_test,mae,beats_train_mean_null,production_status
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2023,23:00,ridge_challenger,4206,365,1.0842245506158878,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,20:00,train_mean_null,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,20:00,ridge_challenger,4571,366,1.2982372441222527,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,21:00,train_mean_null,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,21:00,ridge_challenger,4571,366,1.1935159165818656,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,22:00,train_mean_null,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,22:00,ridge_challenger,4571,366,1.1272397054576053,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,23:00,train_mean_null,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2024,23:00,ridge_challenger,4571,366,1.1225216046022026,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,20:00,train_mean_null,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,20:00,ridge_challenger,4937,365,1.2903412248060548,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,21:00,train_mean_null,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,21:00,ridge_challenger,4937,365,1.2381508057435093,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,22:00,train_mean_null,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,22:00,ridge_challenger,4937,365,1.1228737810053278,true,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,23:00,train_mean_null,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY
onda3_d_binary_macro_interactions,Onda 3D binary-macro interactions,2025,23:00,ridge_challenger,4937,365,1.117642738979003,true,EXPERIMENT_ONLY
