probe_id,station,source_id,endpoint,endpoint_url,model,variable_group,date_local,calendar_year,month,cp,cp_utc,target_valid_time_utc,selected_run_time_utc,selected_available_time_utc,selected_lead_h,causal_class,request_params_json,request_url,request_url_sha256,request_params_sha256,production_status,success,status_code,n_hourly_times,response_sha256,error
om_probe_00001,NZWN,historical_forecast_best_match,historical_forecast,https://historical-forecast-api.open-meteo.com/v1/forecast,best_match,initial_physical_tmax_set,2024-07-15,2024,2024-07,23:00,2024-07-15T11:00:00+00:00,2024-07-15T11:00:00+00:00,,,,seamless_historical_forecast,"{""end_date"": ""2024-07-15"", ""hourly"": ""temperature_2m,dew_point_2m,relative_humidity_2m,surface_pressure,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m"", ""latitude"": -41.3272, ""longitude"": 174.8053, ""start_date"": ""2024-07-15"", ""timezone"": ""auto""}",https://historical-forecast-api.open-meteo.com/v1/forecast?end_date=2024-07-15&hourly=temperature_2m%2Cdew_point_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cpressure_msl%2Ccloud_cover%2Ccloud_cover_low%2Ccloud_cover_mid%2Ccloud_cover_high%2Cwind_speed_10m%2Cwind_direction_10m%2Cwind_gusts_10m&latitude=-41.3272&longitude=174.8053&start_date=2024-07-15&timezone=auto,0196171092b1e9be66daef9e709184b70e7ec7727d8f440f9c32e60f452960e8,173b636e6f09c7771515b0683bdd8f8f237ad61029fddef2ed83e84d489a2720,EXPERIMENT_ONLY,true,200,24,d10720cc288a2e5b421dfd030e074b60a2c359d38f7fbfaf86e1c82f44f34362,
om_probe_00002,NZWN,previous_runs_gfs_temperature,previous_runs,https://previous-runs-api.open-meteo.com/v1/forecast,gfs_seamless,initial_physical_tmax_set,2024-07-15,2024,2024-07,23:00,2024-07-15T11:00:00+00:00,2024-07-15T11:00:00+00:00,,,,fixed_lead_forecast,"{""end_date"": ""2024-07-15"", ""hourly"": ""temperature_2m_previous_day1,dew_point_2m_previous_day1,cloud_cover_previous_day1,cloud_cover_low_previous_day1,pressure_msl_previous_day1,wind_speed_10m_previous_day1,wind_gusts_10m_previous_day1,wind_direction_10m_previous_day1"", ""latitude"": -41.3272, ""longitude"": 174.8053, ""models"": ""gfs_seamless"", ""start_date"": ""2024-07-15"", ""timezone"": ""auto""}",https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-07-15&hourly=temperature_2m_previous_day1%2Cdew_point_2m_previous_day1%2Ccloud_cover_previous_day1%2Ccloud_cover_low_previous_day1%2Cpressure_msl_previous_day1%2Cwind_speed_10m_previous_day1%2Cwind_gusts_10m_previous_day1%2Cwind_direction_10m_previous_day1&latitude=-41.3272&longitude=174.8053&models=gfs_seamless&start_date=2024-07-15&timezone=auto,0c5914b124444661f33f75266188a9005468bea2765aaef2f6958ba3c5a7ab32,28cf72d620b8629bbff5cd4c903c2807dcb542d2462c3815d81e4bdca88609ab,EXPERIMENT_ONLY,true,200,24,1f62c9c3f15bbb45f8568cc544dfbf1dba6cb9d6199a37a13cae020c7c43bb10,
om_probe_00003,NZWN,single_runs_ecmwf_ifs_hres,single_runs,https://single-runs-api.open-meteo.com/v1/forecast,ecmwf_ifs025,initial_physical_tmax_set,2024-07-15,2024,2024-07,23:00,2024-07-15T11:00:00+00:00,2024-07-15T11:00:00+00:00,2024-07-15T00:00:00+00:00,2024-07-15T06:10:00+00:00,11,forecast_snapshot,"{""end_date"": ""2024-07-15"", ""hourly"": ""temperature_2m,dew_point_2m,relative_humidity_2m,surface_pressure,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m"", ""latitude"": -41.3272, ""longitude"": 174.8053, ""models"": ""ecmwf_ifs025"", ""run"": ""2024-07-15T00:00"", ""start_date"": ""2024-07-15"", ""timezone"": ""auto""}",https://single-runs-api.open-meteo.com/v1/forecast?end_date=2024-07-15&hourly=temperature_2m%2Cdew_point_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cpressure_msl%2Ccloud_cover%2Ccloud_cover_low%2Ccloud_cover_mid%2Ccloud_cover_high%2Cwind_speed_10m%2Cwind_direction_10m%2Cwind_gusts_10m&latitude=-41.3272&longitude=174.8053&models=ecmwf_ifs025&run=2024-07-15T00%3A00&start_date=2024-07-15&timezone=auto,430444ad92cbb35a3375de8befa3f9b0be2cf38a320bbc6890851b36d3c2cde5,4930ae68548feba1f3dc10812d2cdd19a1f5efbecee0f7afdb73cee7815fab7c,EXPERIMENT_ONLY,false,400,0,9445fb59e32ec3553a9038de3f699e269488be1f1886da4be32968ec3a87609e,http_400
om_probe_00004,NZWN,historical_weather_era5,historical_weather,https://archive-api.open-meteo.com/v1/archive,era5,initial_physical_tmax_set,2024-07-15,2024,2024-07,23:00,2024-07-15T11:00:00+00:00,2024-07-15T11:00:00+00:00,,,,reanalysis_not_forecast,"{""end_date"": ""2024-07-15"", ""hourly"": ""temperature_2m,dew_point_2m,relative_humidity_2m,surface_pressure,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m"", ""latitude"": -41.3272, ""longitude"": 174.8053, ""models"": ""era5"", ""start_date"": ""2024-07-15"", ""timezone"": ""auto""}",https://archive-api.open-meteo.com/v1/archive?end_date=2024-07-15&hourly=temperature_2m%2Cdew_point_2m%2Crelative_humidity_2m%2Csurface_pressure%2Cpressure_msl%2Ccloud_cover%2Ccloud_cover_low%2Ccloud_cover_mid%2Ccloud_cover_high%2Cwind_speed_10m%2Cwind_direction_10m%2Cwind_gusts_10m&latitude=-41.3272&longitude=174.8053&models=era5&start_date=2024-07-15&timezone=auto,17100735c10d5044efa61bbedd050f9f251d8dc18908d7fe97fc9371244fea95,46525788d628342db603be3da4ac651bd719164b3995b8daadac34a26696e7a3,EXPERIMENT_ONLY,true,200,24,8ca59078482ccb3a50d2b4be6bd1deb3af5ffa0541550d14074fc3a88c33c688,
