stratum_type,stratum_value,year,best_k_by_bic,all_year_best_k_by_bic,best_k_matches_all_year,n_rows,smallest_cluster_rows,eta2_tmax_anomaly,stability_note
season,MAM,2021,6,6,true,310,46,0.40574023103496537,Year best-k matches all-year best-k.
season,SON,2021,6,6,true,336,36,0.4521732938002724,Year best-k matches all-year best-k.
month,1,2022,6,6,true,80,8,0.8203215647273329,Year best-k matches all-year best-k.
month,10,2022,6,6,true,121,12,0.5027976323644134,Year best-k matches all-year best-k.
month,11,2022,6,6,true,110,4,0.4308822130739405,Year best-k matches all-year best-k.
month,12,2022,6,6,true,116,4,0.38022334763305404,Year best-k matches all-year best-k.
month,2,2022,6,6,true,106,8,0.7130439256732918,Year best-k matches all-year best-k.
month,3,2022,6,6,true,111,8,0.43226206753216895,Year best-k matches all-year best-k.
month,4,2022,5,6,false,107,8,0.5425252002233062,Year best-k differs from all-year best-k; inspect before regime promotion.
month,5,2022,6,6,true,112,4,0.24103355705607707,Year best-k matches all-year best-k.
month,6,2022,6,6,true,104,6,0.6831103747340859,Year best-k matches all-year best-k.
month,7,2022,6,6,true,109,4,0.6437221245704567,Year best-k matches all-year best-k.
month,8,2022,6,6,true,116,4,0.4516879291755035,Year best-k matches all-year best-k.
month,9,2022,5,6,false,108,12,0.4553541441835756,Year best-k differs from all-year best-k; inspect before regime promotion.
season,DJF,2022,6,6,true,302,35,0.5740740356613381,Year best-k matches all-year best-k.
season,JJA,2022,6,6,true,329,12,0.43880989219963584,Year best-k matches all-year best-k.
season,MAM,2022,6,6,true,330,32,0.46991587604535795,Year best-k matches all-year best-k.
season,SON,2022,6,6,true,339,8,0.4043817308200036,Year best-k matches all-year best-k.
month,1,2023,5,6,false,120,12,0.7423589771729587,Year best-k differs from all-year best-k; inspect before regime promotion.
month,10,2023,6,6,true,100,8,0.39534673659673664,Year best-k matches all-year best-k.
month,11,2023,6,6,true,116,14,0.7034496807079377,Year best-k matches all-year best-k.
month,12,2023,6,6,true,121,4,0.4094305598205284,Year best-k matches all-year best-k.
month,2,2023,6,6,true,112,8,0.5284656447665244,Year best-k matches all-year best-k.
month,3,2023,6,6,true,111,12,0.7783919197023748,Year best-k matches all-year best-k.
month,4,2023,6,6,true,106,8,0.4556813291753738,Year best-k matches all-year best-k.
month,5,2023,6,6,true,122,8,0.33567117307905114,Year best-k matches all-year best-k.
month,6,2023,6,6,true,109,8,0.49099691433252407,Year best-k matches all-year best-k.
month,7,2023,5,6,false,103,12,0.5950146315509445,Year best-k differs from all-year best-k; inspect before regime promotion.
month,8,2023,6,6,true,113,5,0.18388888888888888,Year best-k matches all-year best-k.
month,9,2023,6,6,true,108,8,0.4971859395932283,Year best-k matches all-year best-k.
season,DJF,2023,6,6,true,353,42,0.4609566165138215,Year best-k matches all-year best-k.
season,JJA,2023,5,6,false,325,21,0.3623033285639586,Year best-k differs from all-year best-k; inspect before regime promotion.
season,MAM,2023,6,6,true,339,26,0.3873127390863853,Year best-k matches all-year best-k.
season,SON,2023,6,6,true,324,25,0.48181779148949244,Year best-k matches all-year best-k.
month,1,2024,6,6,true,107,8,0.314199411733611,Year best-k matches all-year best-k.
month,10,2024,6,6,true,123,4,0.28421908739412977,Year best-k matches all-year best-k.
month,11,2024,6,6,true,114,4,0.3924585901159991,Year best-k matches all-year best-k.
month,12,2024,6,6,true,120,4,0.8157222936303914,Year best-k matches all-year best-k.
month,2,2024,6,6,true,108,4,0.5194083428239654,Year best-k matches all-year best-k.
month,3,2024,6,6,true,120,8,0.4415096170171481,Year best-k matches all-year best-k.
month,4,2024,6,6,true,105,4,0.43255011569946333,Year best-k matches all-year best-k.
month,5,2024,6,6,true,112,8,0.2741819105691057,Year best-k matches all-year best-k.
month,6,2024,5,6,false,113,12,0.1893030285028146,Year best-k differs from all-year best-k; inspect before regime promotion.
month,7,2024,6,6,true,120,4,0.4464177423546738,Year best-k matches all-year best-k.
month,8,2024,5,6,false,111,12,0.48728713378226085,Year best-k differs from all-year best-k; inspect before regime promotion.
month,9,2024,6,6,true,108,8,0.3987419509154471,Year best-k matches all-year best-k.
season,DJF,2024,6,6,true,335,22,0.5222732530450367,Year best-k matches all-year best-k.
season,JJA,2024,6,6,true,344,27,0.25782940181151304,Year best-k matches all-year best-k.
season,MAM,2024,6,6,true,337,35,0.33869045753213456,Year best-k matches all-year best-k.
season,SON,2024,6,6,true,345,38,0.21683995683181462,Year best-k matches all-year best-k.
month,1,2025,6,6,true,112,12,0.6881980240549828,Year best-k matches all-year best-k.
month,10,2025,6,6,true,100,4,0.4764957264957265,Year best-k matches all-year best-k.
month,11,2025,6,6,true,119,4,0.18902490753853038,Year best-k matches all-year best-k.
month,12,2025,6,6,true,118,10,0.5783348614411619,Year best-k matches all-year best-k.
month,2,2025,6,6,true,92,4,0.3390301191949004,Year best-k matches all-year best-k.
month,3,2025,6,6,true,124,4,0.6475367294756117,Year best-k matches all-year best-k.
month,4,2025,6,6,true,111,4,0.5981589935201824,Year best-k matches all-year best-k.
month,5,2025,6,6,true,107,6,0.5378643040045795,Year best-k matches all-year best-k.
month,6,2025,6,6,true,111,8,0.4142880213355974,Year best-k matches all-year best-k.
month,7,2025,6,6,true,104,4,0.46857794951896403,Year best-k matches all-year best-k.
month,8,2025,5,6,false,98,14,0.8051960824770631,Year best-k differs from all-year best-k; inspect before regime promotion.
