stratum_type,stratum_value,k,cluster_id,n_rows,wind_dir_deg_mean,wind_speed_mean,qnh_hpa_mean,relh_mean,dewpoint_depression_mean,precip_pre_cp_sum_mean,cloud_cover_score_mean,temp_slope_pre_cp_mean,tmax_anomaly_mean,remaining_warming_mean,dominant_current_regime
month,1,2,0,572,200.70873449430707,11.60185994350423,1013.744249406793,88.38081102844889,1.9728312799290786,0.0,2.6294565071405795,-0.010244404515391345,-0.7461988219249613,2.4038461538461537,southerly_disrupted
month,1,2,1,1051,16.2350528452219,13.932280856935066,1013.0706817456318,76.4597184902991,4.238671572506654,0.0,2.1783140614024643,0.18287247518860147,0.18940862486231416,2.4709800190294957,southerly_disrupted
month,1,3,0,442,198.37280033143168,10.88519695908419,1014.9143919627703,89.69018647605503,1.7405993409698735,0.0,2.594705105782441,-0.033608584946537526,-0.8516081185107285,2.3710407239819005,southerly_disrupted
month,1,3,1,613,359.7084974917308,18.641034508905,1010.5213370070674,77.35159202403119,4.094708024453482,0.0,2.3389129262963824,0.14256211218266993,0.4561506230835375,2.197389885807504,southerly_disrupted
month,1,3,2,568,73.0982419579735,8.874788483185204,1015.0655921522315,77.20668962751701,4.0561661745163,0.0,2.1352885916247892,0.20035843630072042,-0.2305753608789651,2.7764084507042255,southerly_disrupted
month,1,4,0,344,197.5209262111492,10.852191633952943,1016.1074010675285,90.08370379332965,1.669595566724477,0.0,2.54383624841797,-0.060920540040587015,-1.159497732316895,2.3343023255813953,southerly_disrupted
month,1,4,1,550,6.7308633339930894,15.157322216136496,1010.9881449597681,82.68312812793191,3.0356723396047816,0.0,2.752059013854756,0.17641888966602143,1.3807242549981156,2.518181818181818,southerly_disrupted
month,1,4,2,356,2.8089770660446525,14.850835840634552,1010.798370031703,73.51991753443535,4.881054589922931,0.0,1.5988566824447006,0.21280527294014664,0.5071798219031207,2.294943820224719,southerly_disrupted
month,1,4,3,373,156.4686657027452,10.516118949336162,1016.542497986477,75.80531588217208,4.294067611462501,0.0,2.240086044483085,0.09251145129054755,-2.061245035764741,2.5924932975871315,southerly_disrupted
month,1,5,0,227,210.90903612860367,8.609723713871185,1021.8982291165516,91.441253465864,1.4346341646080052,0.0,2.9720518543656667,0.012295805076448611,-0.004377867548940898,2.9162995594713657,southerly_disrupted
month,1,5,1,503,359.68141033858586,18.89235089442791,1010.4205328486914,77.08026180057769,4.15802169511255,0.0,2.3816856658367893,0.1534887296255267,0.7549516180922778,2.2604373757455267,southerly_disrupted
month,1,5,2,236,181.63556396520042,14.804117103645655,1007.4379090091912,86.05488708217761,2.3813694642371446,0.0,2.037879600698203,-0.12043264110581905,-2.354560798931006,1.6694915254237288,southerly_disrupted
month,1,5,3,395,18.009549480602907,8.795869835444108,1013.0681573947411,80.64199198610612,3.4201217117935387,0.0,2.083701684752706,0.2611358158270958,1.4580545196701522,2.8430379746835444,southerly_disrupted
month,1,5,4,262,161.77357551764302,10.891950625635033,1017.0584062820743,73.36607493599071,4.783225866785813,0.0,2.3542434676312807,0.12067423410569829,-2.392211206486964,2.50381679389313,southerly_disrupted
month,1,6,0,162,202.77518350534456,7.359122003006018,1026.0837790050468,91.41239165901652,1.4413577785653808,0.0,2.911289242546409,0.028206397399200382,-0.02028584601198544,3.1666666666666665,southerly_disrupted
month,1,6,1,263,181.3436277881383,13.698875013224947,1007.8470464807916,86.7654540669148,2.2553904358344377,0.0,2.1273377104439106,-0.1287148224454215,-2.1548443588974946,1.6349809885931559,southerly_disrupted
month,1,6,2,400,4.244413811946266,17.91406854125883,1011.5407946449873,82.18044475298146,3.129945712015864,0.0,2.909359434179623,0.15472855151179116,1.1677697095435702,2.405,southerly_disrupted
