month,regime_label,cp,n_rows,p10_remaining_warming,p25_remaining_warming,p50_remaining_warming,p75_remaining_warming,p90_remaining_warming
5,standard_nw,21:00,52,1.0,2.0,3.0,5.0,6.0
5,standard_nw,22:00,48,1.0,2.0,3.0,4.0,6.0
5,standard_nw,23:00,46,1.0,1.0,2.0,3.0,4.0
5,strong_nw_foehn,20:00,20,1.0,2.0,2.0,3.0,3.0
5,strong_nw_foehn,21:00,20,1.0,2.0,2.0,2.0,3.0
5,strong_nw_foehn,22:00,20,1.0,1.0,2.0,2.0,2.0
5,strong_nw_foehn,23:00,19,0.0,1.0,1.0,2.0,2.0
6,calm_radiative,20:00,8,0.0,0.0,1.0,2.0,3.0
6,calm_radiative,21:00,9,0.0,1.0,1.0,2.0,3.0
6,calm_radiative,22:00,8,0.0,1.0,2.0,2.0,2.0
6,calm_radiative,23:00,8,0.0,1.0,1.0,1.0,1.0
6,insufficient,20:00,4,0.0,0.0,0.0,0.0,0.0
6,insufficient,21:00,4,0.0,0.0,0.0,0.0,0.0
6,insufficient,22:00,4,0.0,0.0,0.0,0.0,0.0
6,insufficient,23:00,4,0.0,0.0,0.0,0.0,0.0
6,southerly_disrupted,20:00,356,0.0,0.0,2.0,3.0,6.0
6,southerly_disrupted,21:00,360,0.0,0.0,2.0,3.0,5.0
6,southerly_disrupted,22:00,363,0.0,0.0,1.0,2.0,4.0
6,southerly_disrupted,23:00,366,0.0,0.0,1.0,2.0,3.0
6,standard_nw,20:00,39,0.0,2.0,3.0,5.0,6.0
6,standard_nw,21:00,37,0.0,2.0,3.0,4.0,6.0
6,standard_nw,22:00,35,0.0,1.0,2.0,4.0,6.0
6,standard_nw,23:00,29,0.0,1.0,2.0,3.0,5.0
6,strong_nw_foehn,20:00,20,1.0,1.0,2.0,2.0,3.0
6,strong_nw_foehn,21:00,17,1.0,1.0,2.0,2.0,3.0
6,strong_nw_foehn,22:00,17,0.0,1.0,1.0,2.0,2.0
6,strong_nw_foehn,23:00,20,0.0,0.0,1.0,2.0,2.0
7,calm_radiative,20:00,12,0.0,1.0,2.0,2.0,3.0
