candidate_version,candidate_id,thesis_id,candidate_name,stratum_type,stratum_value,k,cluster_id,n_rows,candidate_regime_family,proposed_regime_label,physical_signature,interpretability_score,promotion_readiness,bic_approx,delta_bic_vs_k5,silhouette_mean,eta2_tmax_anomaly,eta2_remaining_warming,smallest_cluster_rows,annual_match_pct,annual_best_k_distribution,annual_mismatch_years,wind_dir_deg_mean,wind_speed_mean,qnh_hpa_mean,relh_mean,dewpoint_depression_mean,precip_pre_cp_sum_mean,cloud_cover_score_mean,temp_slope_pre_cp_mean,tmax_anomaly_mean,remaining_warming_mean,dominant_current_regime,source_sweep_line,source_physical_line,source_profile_line,caveat,production_status,next_gate_action
v1,RDC-V1-MONTH-10-C04,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,10,6,4,393,nw_or_foehn_candidate,month_10_k6_c4_nw_or_foehn_candidate,northerly_nw_flow,0.3,design_evidence_only,29932.238889490127,880.373058163259,0.16366649745968112,0.33752034546117227,0.09651366856246726,159,100.0,k=6:14,"",23.946221404608053,7.440823210939626,1016.3773970435345,83.36299169973658,2.7797887183050953,0.0,2.3498901142639093,0.2511937754113558,0.4263128454856538,2.5114503816793894,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=10,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=10,k=6,cluster_id=4","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=10,k=6,cluster_id=4",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-10-C05,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,10,6,5,164,southerly_disrupted_candidate,month_10_k6_c5_southerly_disrupted_candidate,southerly_flow;windy,0.44999999999999996,design_evidence_only,29932.238889490127,880.373058163259,0.16366649745968112,0.33752034546117227,0.09651366856246726,159,100.0,k=6:14,"",162.8608587583552,14.011011354837573,1020.4312684858828,71.29691340451554,5.050432130538838,0.0,2.0014207938247996,0.047324768643845334,-2.3837783851976453,1.853658536585366,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=10,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=10,k=6,cluster_id=5","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=10,k=6,cluster_id=5",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-11-C00,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,11,6,0,146,nw_or_foehn_candidate,month_11_k6_c0_nw_or_foehn_candidate,northerly_nw_flow;windy,0.4,design_evidence_only,29781.494043732946,814.6829741913571,0.18575927578632162,0.31346350669712736,0.05924096248073291,146,85.71428571428571,k=5:2; k=6:12,2014;2020,333.2991557917466,15.823248244825903,1002.8759169155576,68.17376544054227,5.930452128133708,0.0,1.8439449812244002,0.05980785280251737,-0.6003810215004975,1.821917808219178,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=11,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=0","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=0",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-11-C01,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,11,6,1,385,nw_or_foehn_candidate,month_11_k6_c1_nw_or_foehn_candidate,northerly_nw_flow;windy,0.4,design_evidence_only,29781.494043732946,814.6829741913571,0.18575927578632162,0.31346350669712736,0.05924096248073291,146,85.71428571428571,k=5:2; k=6:12,2014;2020,356.22092804894817,18.252241434903116,1008.6269525124318,83.62135353661058,2.809880737778888,0.0,2.960015104679106,0.10708303548234986,0.8480089446976876,1.787012987012987,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=11,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=1","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=1",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-11-C02,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,11,6,2,236,southerly_disrupted_candidate,month_11_k6_c2_southerly_disrupted_candidate,southerly_flow;windy;moist_cloudy_or_rain,0.6,design_evidence_only,29781.494043732946,814.6829741913571,0.18575927578632162,0.31346350669712736,0.05924096248073291,146,85.71428571428571,k=5:2; k=6:12,2014;2020,184.12399481918663,12.033532030627,1014.4134476799375,90.23175139951582,1.613090262571439,0.0,2.607006230731722,-0.0665761368125671,-1.1561623077786487,1.61864406779661,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=11,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=2","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=2",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-11-C03,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,11,6,3,274,nw_or_foehn_candidate,month_11_k6_c3_nw_or_foehn_candidate,northerly_nw_flow;windy,0.4,design_evidence_only,29781.494043732946,814.6829741913571,0.18575927578632162,0.31346350669712736,0.05924096248073291,146,85.71428571428571,k=5:2; k=6:12,2014;2020,9.32274914208181,14.558850586920535,1013.3526101220791,75.08511748725633,4.441600378677556,0.0,1.6808492261838317,0.29909270140990524,1.199738966500702,1.8613138686131387,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=11,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=3","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=3",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-11-C04,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,11,6,4,301,nw_or_foehn_candidate,month_11_k6_c4_nw_or_foehn_candidate,northerly_nw_flow,0.3,design_evidence_only,29781.494043732946,814.6829741913571,0.18575927578632162,0.31346350669712736,0.05924096248073291,146,85.71428571428571,k=5:2; k=6:12,2014;2020,24.70016507319569,7.331203244349635,1015.4461260813534,82.44760607732607,2.9939945480547845,0.0,2.3048891300507153,0.2440547207896274,1.0653450969175609,2.707641196013289,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=11,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=4","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=4",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-11-C05,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,11,6,5,238,southerly_disrupted_candidate,month_11_k6_c5_southerly_disrupted_candidate,southerly_flow;windy,0.44999999999999996,design_evidence_only,29781.494043732946,814.6829741913571,0.18575927578632162,0.31346350669712736,0.05924096248073291,146,85.71428571428571,k=5:2; k=6:12,2014;2020,164.81006798739543,14.7814329416046,1021.0609861900216,71.8081375767473,4.997403645086202,0.0,2.137913114096155,0.09336439103760219,-2.425176693193836,2.042016806722689,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=11,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=5","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=11,k=6,cluster_id=5",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-12-C00,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,12,6,0,187,southerly_disrupted_candidate,month_12_k6_c0_southerly_disrupted_candidate,southerly_flow;moist_cloudy_or_rain,0.5,design_evidence_only,33077.4355575132,934.7903673644687,0.16656472389647786,0.21738499705409844,0.08110421534340226,187,93.33333333333333,k=5:1; k=6:14,2012,193.07891914417172,8.2536111978387,1017.724507743291,88.65744223307462,1.9103584436073713,0.0,2.797642310386593,0.04949331625147891,-0.20659572845987043,2.770053475935829,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=12,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=12,k=6,cluster_id=0","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=12,k=6,cluster_id=0",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v1,RDC-V1-MONTH-12-C01,WCT-REGIME-016,Wellington k=6 month/season regime design candidate,month,12,6,1,461,nw_or_foehn_candidate,month_12_k6_c1_nw_or_foehn_candidate,northerly_nw_flow;windy,0.4,design_evidence_only,33077.4355575132,934.7903673644687,0.16656472389647786,0.21738499705409844,0.08110421534340226,187,93.33333333333333,k=5:1; k=6:14,2012,358.70184742839075,18.70127173380969,1010.3687403239057,81.7487102238298,3.1984956114023353,0.0,2.846673206474543,0.13445515300418506,0.9803844471639188,2.0260303687635575,southerly_disrupted,"reports/onda2e/regime_cluster_sweep_by_month_season.csv:stratum_type=month,stratum_value=12,k=6","reports/onda2e/regime_cluster_physical_interpretation.csv:stratum_type=month,stratum_value=12,k=6,cluster_id=1","reports/onda2e/regime_cluster_profiles.csv:stratum_type=month,stratum_value=12,k=6,cluster_id=1",Design evidence only; requires Onda 4 robustness before production.,NOT_PRODUCTION,Use only inside regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
