month,cp,regime_label,n_rows,total_rows,share
6,21:00,standard_nw,37,427,0.08665105386416862
6,21:00,strong_nw_foehn,17,427,0.03981264637002342
6,22:00,calm_radiative,8,427,0.01873536299765808
6,22:00,insufficient,4,427,0.00936768149882904
6,22:00,southerly_disrupted,363,427,0.8501170960187353
6,22:00,standard_nw,35,427,0.08196721311475409
6,22:00,strong_nw_foehn,17,427,0.03981264637002342
6,23:00,calm_radiative,8,427,0.01873536299765808
6,23:00,insufficient,4,427,0.00936768149882904
6,23:00,southerly_disrupted,366,427,0.8571428571428571
6,23:00,standard_nw,29,427,0.06791569086651054
6,23:00,strong_nw_foehn,20,427,0.0468384074941452
7,20:00,calm_radiative,12,435,0.027586206896551724
7,20:00,insufficient,4,435,0.009195402298850575
7,20:00,southerly_disrupted,361,435,0.8298850574712644
7,20:00,standard_nw,44,435,0.10114942528735632
7,20:00,strong_nw_foehn,14,435,0.03218390804597701
7,21:00,calm_radiative,11,435,0.02528735632183908
7,21:00,insufficient,4,435,0.009195402298850575
7,21:00,southerly_disrupted,367,435,0.8436781609195402
7,21:00,standard_nw,41,435,0.09425287356321839
7,21:00,strong_nw_foehn,12,435,0.027586206896551724
7,22:00,calm_radiative,10,435,0.022988505747126436
7,22:00,insufficient,3,435,0.006896551724137931
7,22:00,southerly_disrupted,370,435,0.8505747126436781
7,22:00,standard_nw,42,435,0.09655172413793103
7,22:00,strong_nw_foehn,10,435,0.022988505747126436
7,23:00,calm_radiative,10,435,0.022988505747126436
7,23:00,insufficient,3,435,0.006896551724137931
7,23:00,southerly_disrupted,370,435,0.8505747126436781
7,23:00,standard_nw,42,435,0.09655172413793103
7,23:00,strong_nw_foehn,10,435,0.022988505747126436
8,20:00,calm_radiative,15,445,0.033707865168539325
8,20:00,insufficient,4,445,0.008988764044943821
8,20:00,southerly_disrupted,344,445,0.7730337078651686
8,20:00,standard_nw,68,445,0.15280898876404495
8,20:00,strong_nw_foehn,14,445,0.03146067415730337
8,21:00,calm_radiative,16,445,0.035955056179775284
8,21:00,insufficient,3,445,0.006741573033707865
8,21:00,southerly_disrupted,347,445,0.7797752808988764
8,21:00,standard_nw,66,445,0.14831460674157304
8,21:00,strong_nw_foehn,13,445,0.029213483146067417
8,22:00,calm_radiative,16,445,0.035955056179775284
8,22:00,insufficient,3,445,0.006741573033707865
8,22:00,southerly_disrupted,349,445,0.7842696629213484
8,22:00,standard_nw,63,445,0.14157303370786517
8,22:00,strong_nw_foehn,14,445,0.03146067415730337
8,23:00,calm_radiative,19,445,0.04269662921348315
8,23:00,insufficient,3,445,0.006741573033707865
8,23:00,southerly_disrupted,348,445,0.7820224719101123
8,23:00,standard_nw,61,445,0.13707865168539327
8,23:00,strong_nw_foehn,14,445,0.03146067415730337
9,20:00,calm_radiative,12,450,0.02666666666666667
9,20:00,southerly_disrupted,334,450,0.7422222222222222
9,20:00,standard_nw,66,450,0.14666666666666667
9,20:00,strong_nw_foehn,38,450,0.08444444444444445
9,21:00,calm_radiative,11,450,0.024444444444444446
9,21:00,southerly_disrupted,340,450,0.7555555555555555
9,21:00,standard_nw,62,450,0.13777777777777778
9,21:00,strong_nw_foehn,37,450,0.08222222222222222
9,22:00,calm_radiative,10,450,0.022222222222222223
9,22:00,southerly_disrupted,343,450,0.7622222222222222
9,22:00,standard_nw,56,450,0.12444444444444444
9,22:00,strong_nw_foehn,41,450,0.09111111111111111
