stratum_type,stratum_value,k,cluster_id,n_rows,physical_signature,candidate_regime_family,interpretability_score,dominant_current_regime,promotion_readiness
month,3,5,3,527,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,3,5,4,159,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,3,6,0,235,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,3,6,1,344,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,3,6,2,183,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,3,6,3,308,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,3,6,4,481,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,3,6,5,176,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,4,2,0,654,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,2,1,954,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,4,3,0,511,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,3,1,466,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,4,3,2,631,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,4,4,0,469,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,4,1,356,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,4,4,2,509,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,4,4,3,274,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,4,5,0,240,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,5,1,352,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,5,2,311,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,4,5,3,437,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,4,5,4,268,southerly_flow,southerly_disrupted_candidate,0.35,southerly_disrupted,design_evidence_only
month,4,6,0,172,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,6,1,351,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,4,6,2,218,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,4,6,3,246,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,4,6,4,396,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,4,6,5,225,easterly_component,mixed_or_transition,0.15,southerly_disrupted,design_evidence_only
month,5,2,0,696,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,2,1,999,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,3,0,475,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,3,1,463,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,3,2,757,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,4,0,321,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,4,1,394,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,4,2,472,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,4,3,508,northerly_nw_flow;moist_cloudy_or_rain,nw_or_foehn_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,5,5,0,235,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,5,5,1,413,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
