month,cp,foehn_score_bin,n_rows,mean_foehn_score,mean_dewpoint_depression,mean_dewpoint_collapse_rate_3h,mean_tmax_anomaly,mean_remaining_warming,underpowered_n_lt_30
1,20:00,20_40,92,28.88881271988289,3.046542874396135,,1.0135305791087874,3.652173913043478,false
1,20:00,40_60,83,50.777759336833796,3.749380856760375,,1.4208118782182688,3.5060240963855422,false
1,20:00,60_80,39,68.72571036123516,4.062259091670856,,0.6506543249281855,3.282051282051282,false
1,20:00,gte_80,50,102.5874081316214,5.151740196078431,,-0.10473029045642988,2.98,false
1,20:00,lt_20,215,5.408102835239074,2.825776501580195,,-1.0717070346424764,3.6697674418604653,false
1,20:00,missing,3,,,,-0.2980636237897632,,true
1,21:00,20_40,98,28.79178479104611,3.263413419594313,0.08843537414965985,1.014861546278264,2.9183673469387754,false
1,21:00,40_60,77,50.846199373942305,3.730025375381413,0.07359307359307359,1.4508541251279856,2.74025974025974,false
1,21:00,60_80,48,68.24942129629629,4.280208333333333,0.20138888888888887,0.9519363762102367,2.75,false
1,21:00,gte_80,54,103.06960440308875,5.159820074878554,0.065359477124183,-0.03880436453050396,2.2962962962962963,false
1,21:00,lt_20,202,5.232992031273688,2.885498776419676,0.12333333333333332,-1.256809498377222,2.98019801980198,false
1,21:00,missing,3,,,,-0.2980636237897632,,true
1,22:00,20_40,94,29.061245709526833,3.346635447419322,0.08865248226950354,0.8650569435861233,2.1808510638297873,false
1,22:00,40_60,75,50.10620478577838,3.754200450621503,0.12444444444444445,1.4886030428769035,2.12,false
1,22:00,60_80,55,68.25318245988652,4.3879947803392785,0.16363636363636364,1.217087891361752,2.0727272727272728,false
1,22:00,gte_80,62,103.27456949726484,5.299458874458875,0.03389830508474576,0.05139874180163463,1.8064516129032258,false
1,22:00,lt_20,193,5.132825398449321,3.0307595783098678,0.12216404886561955,-1.358512673876119,2.3108808290155443,false
1,22:00,missing,3,,,,-0.2980636237897632,,true
1,23:00,20_40,85,29.104609057263616,3.3164701964701964,0.11372549019607843,0.5529167683670996,1.576470588235294,false
1,23:00,40_60,72,48.977415214060095,4.06366100184035,0.14814814814814814,1.8130474873213478,1.6527777777777777,false
1,23:00,60_80,74,69.6017661070377,4.428833778833779,0.0990990990990991,1.2109453852192458,1.4324324324324325,false
1,23:00,gte_80,62,107.32156289251213,5.482622053028785,0.04519774011299435,0.08365680631776366,1.3709677419354838,false
1,23:00,lt_20,186,5.03221238507609,3.1654838600052484,0.11775362318840578,-1.4593539463704084,1.8548387096774193,false
1,23:00,missing,3,,,,-0.2980636237897632,,true
2,20:00,20_40,72,30.62696168485027,3.0907788199454864,,1.205188679245282,3.638888888888889,false
2,20:00,40_60,62,49.37806211677517,3.408918406072106,,1.5842209373097982,3.8548387096774195,false
2,20:00,60_80,44,68.34552221562025,4.095959595959596,,1.0006432246998274,3.2954545454545454,false
2,20:00,gte_80,33,94.43414771616364,5.321726884226885,,1.1067038307604335,3.1818181818181817,false
2,20:00,lt_20,211,5.887138589193231,2.808409182119804,,-1.2486027899490308,3.824644549763033,false
2,20:00,missing,2,,,,-1.044811320754718,,true
2,21:00,20_40,71,30.693615747816,3.197929242119383,0.10952380952380951,0.9974422003720426,2.943661971830986,false
2,21:00,40_60,63,49.46964261859199,3.4325852510063037,0.047619047619047616,1.7647124887690915,3.1904761904761907,false
2,21:00,60_80,44,69.35757276714513,4.176136363636363,0.01515151515151515,1.0006432246998274,2.590909090909091,false
2,21:00,gte_80,38,94.82405544591902,5.351023391812866,0.026315789473684216,1.218346573982124,2.5526315789473686,false
2,21:00,lt_20,206,6.182203318031924,2.9001471942580785,0.10294117647058823,-1.311801612016854,3.1310679611650487,false
2,21:00,missing,2,,,,-1.044811320754718,,true
2,22:00,20_40,70,29.491931460361503,3.239033189033189,0.1352657004830918,0.812331536388139,2.1,false
2,22:00,40_60,68,48.728780646463456,3.6152222777222778,0.06862745098039215,1.705188679245282,2.235294117647059,false
2,22:00,60_80,49,70.57625820891127,4.2309833024118735,0.04081632653061224,1.2000866384289555,2.0,false
2,22:00,gte_80,43,97.99054173120334,5.463909961447581,-0.015873015873015865,1.280770074594119,1.8372093023255813,false
2,22:00,lt_20,193,5.907620409401888,3.0330835536370993,0.09424083769633508,-1.4800444813764797,2.3367875647668392,false
2,22:00,missing,1,,,,-1.044811320754718,,true
2,23:00,20_40,69,30.217607872344516,3.410432116717561,0.15196078431372548,0.5493915777960066,1.3768115942028984,false
2,23:00,40_60,71,50.130738248939096,3.7937307640308253,0.0892018779342723,1.687583045442465,1.4647887323943662,false
2,23:00,60_80,43,70.6158771816782,4.214147286821706,0.05426356589147286,1.397049144361561,1.372093023255814,false
2,23:00,gte_80,55,98.7395593911437,5.540401623894447,-0.024691358024691357,1.246097770154373,1.1090909090909091,false
2,23:00,lt_20,185,6.0535180762404375,3.1748968620593336,0.08561020036429873,-1.5421086180520154,1.8702702702702703,false
2,23:00,missing,1,,,,-1.044811320754718,,true
3,20:00,20_40,89,30.19306661120166,2.9335490563266506,,1.4908058475292987,3.4831460674157304,false
3,20:00,40_60,57,49.32905566385099,3.508187134502924,,1.9181663837011893,3.6315789473684212,false
3,20:00,60_80,38,68.02834632878493,3.8421052631578947,,1.3743067345783821,3.1052631578947367,false
3,20:00,gte_80,21,95.08329356433931,5.164021164021164,,1.241474654377881,3.238095238095238,true
3,20:00,lt_20,260,5.136317184418146,2.9179682898800543,,-1.2319685690653424,3.3461538461538463,false
3,21:00,20_40,91,29.949452943997294,2.9878466734503886,0.05860805860805861,1.3477017606049873,2.89010989010989,false
3,21:00,40_60,59,49.5731852062859,3.5176470588235293,-0.005649717514124293,1.920247858574814,2.9152542372881354,false
3,21:00,60_80,40,68.3000625,4.00375,0.06666666666666667,1.604569892473119,2.775,false
3,21:00,gte_80,23,94.87223684210525,5.11304347826087,-0.07246376811594203,1.0882655446470322,2.6956521739130435,true
3,21:00,lt_20,252,5.219008651547766,2.97631740805484,0.12768817204301075,-1.290271377368151,2.876984126984127,false
3,22:00,20_40,95,29.916628937926472,3.116602870813397,0.08771929824561402,1.31114883984154,2.0631578947368423,false
3,22:00,40_60,62,49.918071726403454,3.629103918153154,0.005376344086021503,1.8827956989247319,2.0483870967741935,false
3,22:00,60_80,41,68.61946516159377,4.03769401330377,0.08130081300813008,1.6503015997901924,2.1219512195121952,false
3,22:00,gte_80,27,95.06044499832379,5.075757575757576,-0.1111111111111111,1.1462365591397858,2.185185185185185,true
3,22:00,lt_20,240,5.040453284814,3.082423515525296,0.12146892655367231,-1.4162634408602142,2.129166666666667,false
3,23:00,20_40,92,30.28529053503266,3.3058870477348736,0.11594202898550723,1.15348293595138,1.3043478260869565,false
3,23:00,40_60,64,49.32911829528441,3.7208461262469417,0.041666666666666664,2.104569892473119,1.546875,false
3,23:00,60_80,46,68.35310820506946,4.022157190635451,0.06521739130434782,1.7187003272557277,1.391304347826087,false
3,23:00,gte_80,33,95.28000488248759,5.224747474747474,-0.1313131313131313,1.0250244379276647,1.4242424242424243,false
3,23:00,lt_20,230,5.0128501897183115,3.1881248129211386,0.1135693215339233,-1.5378214118747071,1.5478260869565217,false
4,20:00,20_40,75,30.0817238661271,3.0523931623931624,,0.882949852507373,3.2,false
4,20:00,40_60,55,49.53472820056626,3.596338383838384,,1.3362831858407065,2.3636363636363638,false
4,20:00,60_80,35,69.25497326940035,4.212896825396825,,1.0791403286978491,2.057142857142857,false
4,20:00,gte_80,32,99.8435992959105,5.53125,,1.1487831858407063,2.09375,false
4,20:00,lt_20,255,5.642278795428923,2.4229959963783494,,-0.8401874023945878,3.1411764705882352,false
4,21:00,20_40,77,29.72377324365862,3.0418670498502434,0.14285714285714285,0.8687507183082387,2.7012987012987013,false
4,21:00,40_60,57,49.122413359028265,3.520784600389864,0.13333333333333333,1.4064586244371973,2.280701754385965,false
4,21:00,60_80,39,69.74561208278529,4.199430199430199,0.25,1.1567960063535268,1.8461538461538463,false
4,21:00,gte_80,30,101.54954938271605,5.756481481481482,-0.16666666666666666,1.002949852507373,1.8333333333333333,false
4,21:00,lt_20,249,5.740193041080256,2.4916876341593786,-0.021505376344086016,-0.8926324768098962,2.7751004016064256,false
4,22:00,20_40,76,29.71281388163749,3.139296094602535,0.18018018018018017,0.7178621332091273,2.1052631578947367,false
4,22:00,40_60,56,48.037428180233725,3.5013077200577203,0.047619047619047616,1.479140328697849,1.6428571428571428,false
4,22:00,60_80,49,69.65517848642602,4.296250366175179,-0.061224489795918366,1.132201553187645,1.510204081632653,false
4,22:00,gte_80,29,104.02358649187802,5.857210031347963,-0.04597701149425288,0.9914555996338097,1.5172413793103448,true
4,22:00,lt_20,242,6.288278759748422,2.585772607847423,0.1526610644257703,-0.9157829298617731,2.049586776859504,false
4,23:00,20_40,80,28.994756974843643,3.3155483405483404,0.19831223628691982,0.5112831858407063,1.2625,false
4,23:00,40_60,63,48.41714262180787,3.575101896154528,0.0967741935483871,1.4791403286978493,1.1428571428571428,false
4,23:00,60_80,46,70.27544857759248,4.397162619988706,-0.036231884057971016,1.2275875336667932,0.9347826086956522,false
4,23:00,gte_80,35,102.32831601731603,5.701471861471862,-0.11428571428571428,0.9362831858407062,0.9142857142857143,false
4,23:00,lt_20,228,6.391595188124582,2.690871344141468,0.14285714285714285,-0.9795062878435042,1.2587719298245614,false
5,20:00,20_40,81,29.419841999895137,2.8575445816186558,,1.1761633428300102,2.4814814814814814,false
5,20:00,40_60,67,49.34656441066189,3.789883913764511,,1.416443423906111,2.0,false
5,20:00,60_80,40,67.32331110406074,4.301760912698413,,1.2369658119658127,1.7,false
5,20:00,gte_80,39,108.15551644536019,6.033653846153846,,0.927350427350428,1.7179487179487178,false
5,20:00,lt_20,239,5.653096889454107,2.564045792654579,,-1.144101133640882,2.920502092050209,false
5,20:00,missing,2,,,,-1.1880341880341874,,true
5,21:00,20_40,82,29.759047251344583,2.944865882563157,,1.0558682509902029,2.475609756097561,false
5,21:00,40_60,67,49.92234637199949,3.832106845451885,,1.207488200025514,1.7313432835820894,false
5,21:00,60_80,42,68.21623805173914,4.322915555110933,,1.6214896214896222,1.9523809523809523,false
5,21:00,gte_80,36,108.87342785493827,6.015817901234568,,0.9786324786324793,1.6111111111111112,false
5,21:00,lt_20,239,6.1797176811385315,2.567725638596916,,-1.1231806315488317,2.698744769874477,false
5,21:00,missing,2,,,,-1.1880341880341874,,true
5,22:00,20_40,83,28.993121111598086,3.0868381248850496,0.2073170731707317,0.7095561734115957,2.036144578313253,false
5,22:00,40_60,70,49.325487568266446,3.614315998329156,-0.023809523809523808,1.4548229548229554,1.4142857142857144,false
5,22:00,60_80,46,68.59673842761195,4.523156623442665,0.08695652173913043,1.572835377183204,1.5217391304347827,false
5,22:00,gte_80,36,107.97509408165475,5.985648148148148,0.06481481481481481,1.006410256410257,1.3611111111111112,false
5,22:00,lt_20,231,6.180664656629425,2.612233029116146,0.1565217391304348,-1.1555666555666548,2.1645021645021645,false
5,22:00,missing,2,,,,-1.1880341880341874,,true
5,23:00,20_40,83,28.772036188117756,3.139128156668908,0.20325203252032517,0.5649778601585838,1.3614457831325302,false
5,23:00,40_60,72,49.47200386475777,3.589152278845261,0.009259259259259257,1.4786324786324794,0.9583333333333334,false
5,23:00,60_80,49,68.82116766785246,4.6530082162735225,0.05442176870748299,1.495639281353568,1.0612244897959184,false
5,23:00,gte_80,38,107.16637554630378,5.966626794258373,0.061403508771929814,1.0751237067026547,0.9473684210526315,false
5,23:00,lt_20,224,6.419490386787331,2.7161294388131587,0.1584454409566517,-1.1835699023199016,1.5267857142857142,false
5,23:00,missing,2,,,,-1.1880341880341874,,true
6,20:00,20_40,62,29.428623934154007,3.0235439068100356,,1.2456372289793767,1.7741935483870968,false
6,20:00,40_60,52,49.434624456062664,4.038762626262626,,1.1525851197982353,1.6153846153846154,false
6,20:00,60_80,25,68.73994791666667,4.985,,1.3095081967213122,1.68,true
6,20:00,gte_80,25,99.62036072530864,5.930277777777778,,1.3095081967213122,1.4,true
6,20:00,lt_20,260,4.685728575644442,2.3099054898093363,,-0.7781841109709955,2.5653846153846156,false
6,20:00,missing,3,,,,-0.10382513661202115,,true
6,21:00,20_40,65,29.407882118451994,3.2085601577909273,,0.9372005044136199,1.8615384615384616,false
6,21:00,40_60,53,49.09757257380518,3.883819142073859,,1.2861119703062178,1.490566037735849,false
6,21:00,60_80,23,67.8756196520476,4.903381642512077,,1.4468995010691383,1.7826086956521738,true
6,21:00,gte_80,26,98.57102326685661,5.906944444444444,,1.2679697351828507,1.2692307692307692,true
6,21:00,lt_20,257,4.833280900364806,2.29072823682002,,-0.758818651527715,2.385214007782101,false
6,21:00,missing,3,,,,-0.10382513661202115,,true
6,22:00,20_40,67,29.66530244824313,3.2385096050846247,0.055555555555555546,0.9459261071690733,1.6567164179104477,false
6,22:00,40_60,53,48.87969503876902,3.8591072449563013,0.08333333333333333,1.4370553665326329,1.169811320754717,false
6,22:00,60_80,25,68.75908245614035,4.902,-0.013333333333333332,1.5095081967213122,1.56,true
6,22:00,gte_80,25,98.95237575757575,5.885878787878788,0.22666666666666666,0.9895081967213122,1.2,true
6,22:00,lt_20,254,5.048206102995799,2.326456773952721,0.14077025232403717,-0.7941138505227823,1.968503937007874,false
6,22:00,missing,3,,,,-0.10382513661202115,,true
6,23:00,20_40,69,30.042472152405804,3.2417061199669894,0.034313725490196074,1.0266096459966745,1.2028985507246377,false
6,23:00,40_60,54,48.39048643938563,3.8984006734006735,0.11949685534591195,1.3591378263509417,0.9074074074074074,false
6,23:00,60_80,27,68.59107671228884,4.893939393939394,-0.08641975308641976,1.4146933819064973,0.9629629629629629,true
6,23:00,gte_80,26,98.80950049229271,5.887678987678988,0.21794871794871792,1.0756620428751584,1.0,true
6,23:00,lt_20,248,5.231261553153889,2.380754211444314,0.14965986394557823,-0.8471047065044943,1.4475806451612903,false
6,23:00,missing,3,,,,-0.10382513661202115,,true
7,20:00,20_40,91,29.73394934360765,3.093788156288156,,0.960363774156878,2.4835164835164836,false
7,20:00,40_60,31,49.07877969424203,3.6587854349951123,,1.145050055617353,1.8709677419354838,false
7,20:00,60_80,28,70.27944273519847,4.817356750392465,,0.9054187192118229,1.3928571428571428,true
7,20:00,gte_80,29,98.27688477809706,5.718390804597702,,1.427586206896552,1.6551724137931034,true
7,20:00,lt_20,252,4.754217677596717,2.5123737814214,,-0.7334701696770659,2.6547619047619047,false
7,20:00,missing,4,,,,-1.2017241379310342,,true
7,21:00,20_40,88,30.13383186822915,3.1249851455733806,,0.9687304075235112,2.4886363636363638,false
7,21:00,40_60,36,49.66196604566002,3.714096628679962,,1.0760536398467435,1.6944444444444444,false
7,21:00,60_80,25,71.38714030623142,4.729450980392157,,1.0082758620689658,1.36,true
7,21:00,gte_80,28,98.72036281832995,5.734010270774976,,1.4768472906403944,1.5714285714285714,true
7,21:00,lt_20,255,5.02589505078189,2.5354278811026214,,-0.7399594320486813,2.5294117647058822,false
7,21:00,missing,3,,,,-0.6183908045977008,,true
7,22:00,20_40,84,29.90864920561106,3.118982114376851,0.16666666666666666,0.9768472906403944,2.119047619047619,false
7,22:00,40_60,45,48.931411358852024,3.843887412133026,0.15555555555555556,1.070498084291188,1.5333333333333334,false
7,22:00,60_80,22,71.8270728374317,4.520051983385786,0.1212121212121212,1.0482758620689658,1.0909090909090908,true
7,22:00,gte_80,29,98.06120901023012,5.736602870813397,0.1839080459770115,1.427586206896552,1.3448275862068966,true
7,22:00,lt_20,252,5.450562229955408,2.5762119093162696,0.15466666666666665,-0.7652162014230977,2.1031746031746033,false
7,22:00,missing,3,,,,-0.6183908045977008,,true
7,23:00,20_40,91,30.186041836970055,3.1562485133913705,0.19413919413919412,0.949374763167867,1.5604395604395604,false
7,23:00,40_60,46,49.5747144462648,3.8644174665913797,0.15217391304347824,1.0482758620689658,1.0,false
7,23:00,60_80,22,71.08704095833143,4.631956349307884,0.18181818181818182,1.0937304075235112,0.8636363636363636,true
7,23:00,gte_80,30,98.58951615724344,5.721212121212121,0.15555555555555553,1.4482758620689657,0.9333333333333333,false
7,23:00,lt_20,243,5.545250998367599,2.665610862256411,0.14246196403872752,-0.8241521214701288,1.5308641975308641,false
7,23:00,missing,3,,,,-0.6183908045977008,,true
8,20:00,20_40,70,30.585532137717728,2.977803287981859,,1.167736757624398,2.842857142857143,false
8,20:00,40_60,49,49.63448554421769,3.6903911564625846,,1.251410227012153,1.9183673469387754,false
8,20:00,60_80,35,68.1525542118866,4.228896103896104,,1.3820224719101124,2.057142857142857,false
8,20:00,gte_80,19,98.92752248925886,5.533364661654136,,0.9925487876995861,1.6842105263157894,true
8,20:00,lt_20,271,6.384678363503895,2.5597082550495833,,-0.7714830631452383,2.944649446494465,false
8,20:00,missing,1,,,,-1.2179775280898877,,true
8,21:00,20_40,81,29.51663265325795,3.0142220262590635,,0.9672076570952974,2.617283950617284,false
8,21:00,40_60,49,49.3191052467405,3.6359009804387954,,1.210593900481541,1.816326530612245,false
8,21:00,60_80,34,67.25442241050831,4.290808823529411,,1.3996695307336415,1.8823529411764706,false
8,21:00,gte_80,21,97.32032033492409,5.318121693121693,,1.1153558052434456,1.7142857142857142,true
8,21:00,lt_20,259,6.192633957844042,2.567730687688671,,-0.8009891111014706,2.698841698841699,false
8,21:00,missing,1,,,,-1.2179775280898877,,true
8,22:00,20_40,86,29.536732998549432,3.049645166475032,0.1744186046511628,0.8866736347008101,2.116279069767442,false
8,22:00,40_60,55,49.55216779797204,3.6604465709728866,0.1111111111111111,1.2002042900919305,1.4727272727272727,false
8,22:00,60_80,33,68.75441015764802,4.346464646464646,0.0707070707070707,1.4789921688798093,1.5151515151515151,false
8,22:00,gte_80,20,98.60572222222223,5.375,0.2,1.1320224719101124,1.3,true
8,22:00,lt_20,250,6.317899254683694,2.624002633383129,0.22359396433470505,-0.8499775280898877,2.048,false
8,22:00,missing,1,,,,-1.2179775280898877,,true
8,23:00,20_40,89,28.68446401337232,3.0603166496424925,0.19475655430711608,0.8382022471910112,1.5617977528089888,false
8,23:00,40_60,61,48.12806883548114,3.6288590100820475,0.12222222222222222,1.2246454227297845,1.098360655737705,false
8,23:00,60_80,36,68.3293731549859,4.294234006734007,0.03703703703703703,1.587578027465668,1.2777777777777777,false
8,23:00,gte_80,22,97.97366969577715,5.396694214876033,0.18181818181818182,1.1456588355464759,0.9545454545454546,true
8,23:00,lt_20,236,6.225902038971606,2.7442346438522387,0.22561863173216884,-0.9764521043610741,1.3728813559322033,false
8,23:00,missing,1,,,,-1.2179775280898877,,true
9,20:00,20_40,76,30.546223316019876,3.105187447786132,,0.6895906432748543,2.763157894736842,false
9,20:00,40_60,77,49.99100100599356,3.8191223459080605,,0.9240404040404046,2.4935064935064934,false
9,20:00,60_80,51,69.98059213500215,4.4749922191098666,,1.0167320261437913,2.0588235294117645,false
9,20:00,gte_80,40,102.85054649319218,5.956795634920635,,0.9172222222222228,2.475,false
9,20:00,lt_20,206,5.206786877308633,2.872599696689502,,-1.029622437971952,3.1893203883495147,false
9,21:00,20_40,79,30.04485013571341,3.1882973442541576,0.25,0.48905766526019745,2.3417721518987342,false
9,21:00,40_60,77,49.5561165843748,3.902401566687281,-0.13333333333333333,0.9630014430014435,2.103896103896104,false
9,21:00,60_80,54,69.48875268006337,4.4590694526969035,0.0,1.075555555555556,1.7777777777777777,false
9,21:00,gte_80,43,101.91271264940991,5.909237726098191,-0.5555555555555555,0.9050129198966413,2.0697674418604652,false
9,21:00,lt_20,197,5.335323755657116,2.862974724427279,0.202020202020202,-1.0648843767625489,2.6903553299492384,false
9,22:00,20_40,77,30.63308335882084,3.195254096999101,0.19555555555555554,0.48248196248196307,1.6623376623376624,false
9,22:00,40_60,73,49.67188785739855,3.9580635118306353,0.0867579908675799,1.0024961948249624,1.6164383561643836,false
9,22:00,60_80,63,69.76012985618824,4.536345493363037,0.15873015873015872,0.9803174603174608,1.3333333333333333,false
9,22:00,gte_80,44,102.55180897506483,5.945351239669422,0.07575757575757576,1.060404040404041,1.7727272727272727,false
9,22:00,lt_20,193,5.736010883460006,2.97890823055006,0.27399650959860383,-1.1334254461715596,2.0207253886010363,false
9,23:00,20_40,81,30.43311851961438,3.3433835711613487,0.189873417721519,0.3224691358024697,1.1481481481481481,false
9,23:00,40_60,76,49.630836351843705,4.128823150533677,0.10526315789473684,0.9790643274853806,1.144736842105263,false
9,23:00,60_80,68,70.36519528332937,4.508447924624395,0.2107843137254902,1.0069281045751641,1.0441176470588236,false
9,23:00,gte_80,47,103.31718466790034,6.020323293727549,0.014184397163120569,1.125200945626478,1.2340425531914894,false
9,23:00,lt_20,178,5.626702864831526,3.052125091277362,0.2765151515151515,-1.2465418227215974,1.303370786516854,false
10,20:00,20_40,96,29.099314877786327,2.9380861963812333,,0.537715517241379,2.9791666666666665,false
10,20:00,40_60,87,49.57615876704991,3.6658638934501004,,0.6041666666666663,2.5632183908045976,false
10,20:00,60_80,63,68.95300331721891,4.255166511048864,,0.5620210727969346,2.6031746031746033,false
10,20:00,gte_80,48,99.1227850399419,5.489251429738562,,0.506465517241379,2.125,false
10,20:00,lt_20,170,7.426564120821827,2.8881897821517195,,-0.9641227180527387,3.2705882352941176,false
10,21:00,20_40,94,29.234559297743395,2.9579037193621214,0.14893617021276595,0.49582721936903856,2.25531914893617,false
10,21:00,40_60,92,49.872924961192005,3.831991106719368,0.15942028985507245,0.6260307346326833,2.130434782608696,false
10,21:00,60_80,63,70.06176005347706,4.2031973625884875,0.026455026455026454,0.5144020251778869,1.9523809523809523,false
10,21:00,gte_80,53,98.96077116672427,5.563926755138275,0.11320754716981132,0.5347674040338318,1.7735849056603774,false
10,21:00,lt_20,162,7.582369589551657,2.9723669182575843,0.20625,-1.0182258407833122,2.567901234567901,false
10,22:00,20_40,105,28.62111546720891,3.1346185094084253,0.22539682539682537,0.34932266009852186,1.723809523809524,false
10,22:00,40_60,89,50.081870005324355,3.8083419282448743,0.14606741573033707,0.7817464161177835,1.595505617977528,false
10,22:00,60_80,70,69.88028480057292,4.332472577547765,0.05714285714285714,0.5778940886699504,1.4714285714285715,false
10,22:00,gte_80,59,99.73564672993592,5.571138748257392,0.096045197740113,0.48104178842781964,1.271186440677966,false
10,22:00,lt_20,141,6.866560891884232,3.094401022898816,0.16546762589928057,-1.241761433113231,1.822695035460993,false
10,23:00,20_40,103,28.95788159528533,3.1942297499439087,0.2459546925566343,0.24918396384332073,1.174757281553398,false
10,23:00,40_60,85,49.81074360163349,3.8810103054839895,0.16078431372549018,0.8299949290060848,1.1529411764705881,false
10,23:00,60_80,80,69.56787889987291,4.392236273690078,0.062499999999999986,0.668965517241379,1.0625,false
10,23:00,gte_80,66,100.53282404223026,5.651887912263406,0.08585858585858586,0.47616248693834873,0.8787878787878788,false
10,23:00,lt_20,130,6.7461736962788645,3.244580112991704,0.15364583333333331,-1.393534482758621,1.2538461538461538,false
11,20:00,20_40,82,29.14543062544848,3.1287094262345336,,0.7091746083023757,3.1463414634146343,false
11,20:00,40_60,92,50.148468575923594,3.4773862513232716,,0.9289519147710925,2.75,false
11,20:00,60_80,41,71.17617874554972,4.5308265582655824,,0.7213697302535952,2.8048780487804876,false
11,20:00,gte_80,48,100.71254265016192,5.557440476190476,,-0.00220750551876255,2.5625,false
11,20:00,lt_20,188,5.005546036450366,2.900201178150177,,-0.8763209806960676,3.047872340425532,false
11,20:00,missing,2,,,,-4.168874172185429,,true
11,21:00,20_40,82,29.869301427447525,3.0961916987590925,0.06666666666666667,0.6360038765950586,2.402439024390244,false
11,21:00,40_60,87,50.2473271465731,3.6790112253814615,0.05426356589147286,0.9518154829869845,2.1954022988505746,false
11,21:00,60_80,45,69.13536520448838,4.19243664717349,0.14074074074074072,0.9311258278145709,2.066666666666667,false
11,21:00,gte_80,56,99.86571501953729,5.700685425685426,0.11515151515151514,0.06326868495742792,1.9821428571428572,false
11,21:00,lt_20,181,4.947085819512387,3.039171682974387,0.1648148148148148,-0.9506421279865341,2.4972375690607733,false
11,21:00,missing,2,,,,-4.168874172185429,,true
11,22:00,20_40,79,29.574053148072604,3.1916515973478,0.12987012987012986,0.72353089110571,1.759493670886076,false
11,22:00,40_60,86,49.97835566981676,3.8227045716101804,0.035294117647058816,0.8776374557215475,1.6162790697674418,false
11,22:00,60_80,50,68.19867741421638,4.21865367965368,0.14666666666666667,0.9111258278145707,1.56,false
11,22:00,gte_80,65,100.99739272455939,5.6927816627816625,0.09895833333333333,0.23881813550687847,1.3846153846153846,false
11,22:00,lt_20,171,4.667015043753693,3.1664529589968184,0.15098039215686274,-1.0840788505480023,1.9649122807017543,false
11,22:00,missing,2,,,,-4.168874172185429,,true
11,23:00,20_40,76,29.88766555608109,3.195592264519468,0.16216216216216217,0.8311258278145708,1.1973684210526316,false
11,23:00,40_60,80,48.973076143615785,3.758562664690382,0.05485232067510548,0.7811258278145707,0.95,false
11,23:00,60_80,65,68.50153479278559,4.505681926768883,0.11794871794871795,1.023433520122263,1.123076923076923,false
11,23:00,gte_80,69,103.77178003096041,5.839815377858856,0.08333333333333333,0.31663307419138237,0.8840579710144928,false
