month,regime_label,cp,cooling_mechanism,n_rows,mean_remaining_warming,mean_tmax_anomaly,fixed_minus_2_trigger_rate,median_min_delta_t_per_h,underpowered_n_lt_30
2,southerly_disrupted,23:00,southerly_frontal,12,0.3333333333333333,-2.544811320754718,1.0,-4.0,true
2,standard_nw,20:00,no_material_cooling,47,4.319148936170213,0.6785929345644309,0.0,0.0,false
2,standard_nw,21:00,no_material_cooling,47,3.4680851063829787,0.6785929345644309,0.0,0.0,false
2,standard_nw,22:00,no_material_cooling,40,2.55,0.6551886792452819,0.0,-1.0,false
2,standard_nw,23:00,no_material_cooling,36,1.8888888888888888,0.6496331236897264,0.0,-1.0,false
2,strong_nw_foehn,20:00,no_material_cooling,20,3.35,0.755188679245282,0.0,0.0,true
2,strong_nw_foehn,21:00,no_material_cooling,19,2.9473684210526314,0.9025571002979135,0.0,0.0,true
2,strong_nw_foehn,22:00,no_material_cooling,22,2.0,0.7733704974271002,0.0,0.0,true
2,strong_nw_foehn,23:00,no_material_cooling,22,1.2272727272727273,0.7279159519725547,0.0,0.0,true
3,calm_radiative,20:00,no_material_cooling,13,3.1538461538461537,-1.0588916459884194,0.0,0.0,true
3,calm_radiative,21:00,no_material_cooling,13,3.0,-1.0588916459884194,0.0,0.0,true
3,calm_radiative,22:00,no_material_cooling,13,2.5384615384615383,-1.0588916459884194,0.0,0.0,true
3,calm_radiative,23:00,no_material_cooling,12,2.3333333333333335,-1.1870967741935476,0.0,0.0,true
3,southerly_disrupted,20:00,ambiguous_cooling,9,2.6666666666666665,0.4795698924731191,1.0,-4.0,true
3,southerly_disrupted,20:00,no_material_cooling,331,3.3353474320241694,-0.14580775103141264,0.0,-2.0,false
3,southerly_disrupted,20:00,radiative_pre_dawn,16,5.0,-0.020430107526880903,1.0,-4.0,true
3,southerly_disrupted,20:00,southerly_frontal,12,1.0833333333333333,-1.520430107526881,1.0,-6.0,true
3,southerly_disrupted,21:00,ambiguous_cooling,9,2.6666666666666665,0.4795698924731191,1.0,-4.0,true
3,southerly_disrupted,21:00,no_material_cooling,334,2.802395209580838,-0.14019058656879707,0.0,-2.0,false
3,southerly_disrupted,21:00,post_dawn_advective,3,0.6666666666666666,-0.5204301075268809,1.0,-4.0,true
3,southerly_disrupted,21:00,radiative_pre_dawn,16,4.4375,-0.020430107526880903,1.0,-4.0,true
3,southerly_disrupted,21:00,southerly_frontal,12,1.0833333333333333,-1.520430107526881,1.0,-6.0,true
3,southerly_disrupted,22:00,ambiguous_cooling,9,2.2222222222222223,0.4795698924731191,1.0,-4.0,true
3,southerly_disrupted,22:00,no_material_cooling,337,2.0089020771513355,-0.11983663571679187,0.0,-2.0,false
3,southerly_disrupted,22:00,post_dawn_advective,5,0.4,0.2795698924731191,1.0,-4.0,true
3,southerly_disrupted,22:00,radiative_pre_dawn,16,3.25,-0.020430107526880903,1.0,-4.0,true
3,southerly_disrupted,22:00,southerly_frontal,13,1.0769230769230769,-1.7511993382961117,1.0,-6.0,true
3,southerly_disrupted,23:00,ambiguous_cooling,9,1.7777777777777777,0.4795698924731191,1.0,-4.0,true
3,southerly_disrupted,23:00,no_material_cooling,333,1.4354354354354355,-0.11202169911847248,0.0,-2.0,false
3,southerly_disrupted,23:00,post_dawn_advective,8,0.0,0.6045698924731191,1.0,-5.0,true
3,southerly_disrupted,23:00,radiative_pre_dawn,16,2.125,-0.020430107526880903,1.0,-4.0,true
3,southerly_disrupted,23:00,southerly_frontal,17,0.7647058823529411,-1.285135989879822,1.0,-6.0,true
3,standard_nw,20:00,no_material_cooling,64,3.90625,0.8545698924731191,0.0,-1.0,false
3,standard_nw,21:00,no_material_cooling,61,3.3278688524590163,0.9385862859157421,0.0,-1.0,false
3,standard_nw,22:00,no_material_cooling,55,2.6,0.97047898338221,0.0,-1.0,false
