month,cp,wind_sector,n_obs,n_days,mean_tmax_anomaly,mean_remaining_warming,mean_sknt,underpowered_n_lt_30
1,20:00,E,134,74,0.4979562767077492,4.7611940298507465,2.7686567164179103,false
1,20:00,N,4047,358,1.2109554026495746,3.6254015319990116,14.309117865085248,false
1,20:00,NE,782,205,0.9892339039169716,4.689258312020461,6.406649616368286,false
1,20:00,NW,234,94,0.3429620172358778,3.230769230769231,12.662393162393162,false
1,20:00,S,1691,216,-2.282885228362994,2.7646363098758133,12.751626256652868,false
1,20:00,SE,451,107,-1.9447746363544345,3.29490022172949,9.574279379157428,false
1,20:00,SW,445,120,-0.6298988297822726,3.5662921348314605,8.88314606741573,false
1,20:00,W,85,60,0.3764461801318054,4.341176470588235,3.0823529411764707,false
1,20:00,unknown,1,1,5.03526970954357,9.0,2.0,true
1,21:00,E,137,76,0.45132810370415405,3.7007299270072993,2.832116788321168,false
1,21:00,N,4509,363,1.2255558040212815,2.8150365934797072,14.43756930583278,false
1,21:00,NE,819,211,1.0157336900075504,3.5750915750915753,6.536019536019536,false
1,21:00,NW,271,105,0.38951325197899445,2.7785977859778597,12.487084870848708,false
1,21:00,S,1948,225,-2.2619582165344587,2.385523613963039,12.675051334702259,false
1,21:00,SE,479,108,-1.9814317518343005,2.693110647181628,9.734864300626304,false
1,21:00,SW,490,127,-0.5688119231094911,3.236734693877551,8.771428571428572,false
1,21:00,W,88,62,0.376178800452661,3.534090909090909,3.0795454545454546,false
1,21:00,unknown,1,1,5.03526970954357,6.0,2.0,true
1,22:00,E,142,79,0.40850914616328843,2.8661971830985915,2.8732394366197185,false
1,22:00,N,4970,364,1.2394950616562461,2.0913480885311873,14.654325955734407,false
1,22:00,NE,835,212,1.0185032424777019,2.6263473053892215,6.566467065868263,false
1,22:00,NW,298,109,0.4111086357180668,2.285234899328859,12.583892617449665,false
1,22:00,S,2237,235,-2.1877968975194606,1.9727313366115333,12.531068395172106,false
1,22:00,SE,516,116,-2.0015519958827865,2.054263565891473,10.005813953488373,false
1,22:00,SW,525,133,-0.5380636237897632,2.8304761904761904,8.792380952380952,false
1,22:00,W,93,65,0.31483960201668837,2.806451612903226,3.225806451612903,false
1,22:00,unknown,1,1,5.03526970954357,4.0,2.0,true
1,23:00,E,142,79,0.40850914616328843,2.23943661971831,2.8732394366197185,false
1,23:00,N,5415,364,1.2550296356746873,1.5172668513388734,14.883841181902124,false
1,23:00,NE,843,212,1.023407313339537,1.9952550415183867,6.578884934756821,false
1,23:00,NW,330,117,0.4564818307556913,1.8848484848484848,12.993939393939394,false
1,23:00,S,2563,244,-2.1001185073897113,1.5762777994537651,12.46547015216543,false
1,23:00,SE,541,117,-2.049758016888962,1.5489833641404807,10.194085027726432,false
1,23:00,SW,563,136,-0.545547341966199,2.4103019538188275,8.813499111900533,false
1,23:00,W,94,66,0.30122715635208075,2.2872340425531914,3.2127659574468086,false
1,23:00,unknown,1,1,5.03526970954357,3.0,2.0,true
2,20:00,E,137,69,0.15226897121608488,5.0510948905109485,2.5036496350364965,false
2,20:00,N,3693,319,1.3147879210541094,3.8313024641213107,13.746547522339561,false
2,20:00,NE,861,188,0.7136091205925527,5.277584204413473,5.932636469221835,false
2,20:00,NW,179,68,0.13395962896595234,2.541899441340782,10.927374301675977,false
2,20:00,S,1483,166,-2.5653777401748123,2.616992582602832,14.095077545515846,false
2,20:00,SE,396,89,-1.6963264722698697,3.654040404040404,9.734848484848484,false
2,20:00,SW,241,85,-1.5925291630783696,2.6970954356846475,11.439834024896266,false
2,20:00,W,47,37,-0.17247089522280315,3.9361702127659575,3.0638297872340425,false
2,21:00,E,144,71,0.17741090146750416,3.9930555555555554,2.5347222222222223,false
2,21:00,N,4112,322,1.3318910138756321,3.08511673151751,13.846546692607005,false
2,21:00,NE,915,192,0.7092870399010196,4.157377049180328,6.0950819672131145,false
2,21:00,NW,203,74,0.16208523096941987,2.1182266009852215,10.970443349753694,false
2,21:00,S,1672,179,-2.537036201137493,2.263157894736842,14.04066985645933,false
2,21:00,SE,443,93,-1.771673623237788,2.9209932279909707,10.033860045146726,false
2,21:00,SW,278,92,-1.569991176869826,2.4928057553956835,11.201438848920864,false
2,21:00,W,51,41,-0.20167406585275727,3.2549019607843137,2.9411764705882355,false
2,22:00,E,152,74,0.20518867924528195,2.9276315789473686,2.763157894736842,false
2,22:00,N,4529,323,1.3510818123872559,2.2018105542062267,14.046809450209759,false
2,22:00,NE,941,192,0.7160813466204149,2.9032943676939427,6.16365568544102,false
2,22:00,NW,227,81,0.259153436954533,1.5903083700440528,11.277533039647578,false
2,22:00,S,1902,194,-2.477513739261553,1.8233438485804416,13.88801261829653,false
2,22:00,SE,477,94,-1.8498427672955984,2.1740041928721174,10.276729559748428,false
2,22:00,SW,317,103,-1.5306157371585036,2.056782334384858,10.965299684542586,false
2,22:00,W,54,44,-0.32258909853249584,2.3703703703703702,2.8518518518518516,false
2,23:00,E,155,74,0.2132531953743142,2.238709677419355,2.838709677419355,false
2,23:00,N,4938,323,1.3725641348953428,1.4661806399351964,14.303159173754556,false
2,23:00,NE,955,194,0.7153981033290515,2.101570680628272,6.172774869109948,false
2,23:00,NW,247,83,0.3155125658849581,1.222672064777328,11.566801619433198,false
2,23:00,S,2171,208,-2.3990259683825395,1.5039152464302166,13.742975587286965,false
2,23:00,SE,512,97,-1.894420695754718,1.544921875,10.458984375,false
2,23:00,SW,347,111,-1.4857335109564473,1.7665706051873198,10.847262247838616,false
2,23:00,W,58,48,-0.3379147690305801,1.8620689655172413,2.8448275862068964,false
3,20:00,E,148,77,-0.060970648067421446,4.72972972972973,2.3783783783783785,false
3,20:00,N,3616,330,1.5155212199067474,3.684734513274336,12.989491150442477,false
3,20:00,NE,1067,218,0.6726345597645905,4.847235238987817,6.077788191190253,false
3,20:00,NW,160,67,0.15456989247311909,3.04375,10.05625,false
3,20:00,S,1967,199,-2.3277509006127985,2.197763091001525,15.808337569903406,false
3,20:00,SE,495,106,-1.5285109156076888,3.294949494949495,9.468686868686868,false
3,20:00,SW,279,79,-1.3197132616487446,2.4659498207885306,10.365591397849462,false
3,20:00,W,34,26,-0.40278304870335147,2.9705882352941178,3.2941176470588234,false
3,20:00,unknown,1,1,1.479569892473119,4.0,3.0,true
3,21:00,E,158,81,-0.12169593031169103,3.8987341772151898,2.3860759493670884,false
3,21:00,N,4045,334,1.525552587157915,3.076390605686032,13.046971569839307,false
3,21:00,NE,1155,224,0.6648512777545045,3.9212121212121214,6.17056277056277,false
3,21:00,NW,175,74,0.17099846390169052,2.565714285714286,10.154285714285715,false
3,21:00,S,2191,205,-2.327823991598081,1.9698767685988132,15.79187585577362,false
3,21:00,SE,538,108,-1.5594635647759516,2.8717472118959106,9.45910780669145,false
3,21:00,SW,318,88,-1.3097382836275098,2.4056603773584904,10.069182389937106,false
3,21:00,W,42,34,-0.42519201228878567,2.738095238095238,3.619047619047619,false
3,21:00,unknown,1,1,1.479569892473119,4.0,3.0,true
