test_year,year_month,candidate_id,n,mae,exact_bracket_pct
2024,2024-01,local_only_reference,124,1.896157489167913,16.129032258064516
2024,2024-01,open_meteo_augmented,124,3.228293323486537,7.258064516129033
2024,2024-02,local_only_reference,116,1.317356922875421,19.82758620689655
2024,2024-02,open_meteo_augmented,116,0.89156721821967,31.896551724137932
2024,2024-03,local_only_reference,124,1.1555270902854458,27.419354838709676
2024,2024-03,open_meteo_augmented,124,0.8390547134531562,42.74193548387097
2024,2024-04,local_only_reference,120,1.1511265506561732,29.166666666666668
2024,2024-04,open_meteo_augmented,120,0.8358417470983827,31.666666666666664
2024,2024-05,local_only_reference,124,1.218570349899191,17.741935483870968
2024,2024-05,open_meteo_augmented,124,0.7378808497966035,36.29032258064516
2024,2024-06,local_only_reference,120,1.0050350962008006,25.833333333333336
2024,2024-06,open_meteo_augmented,120,0.6075706846596639,47.5
2024,2024-07,local_only_reference,124,0.8764637702754363,34.67741935483871
2024,2024-07,open_meteo_augmented,124,0.6551731332769907,50.806451612903224
2024,2024-08,local_only_reference,124,1.0901573534021078,25.0
2024,2024-08,open_meteo_augmented,124,0.7118476024274593,48.38709677419355
2024,2024-09,local_only_reference,120,1.0759051399180493,27.500000000000004
2024,2024-09,open_meteo_augmented,120,0.7419882030788618,35.833333333333336
2024,2024-10,local_only_reference,124,0.9171965145827817,43.54838709677419
2024,2024-10,open_meteo_augmented,124,0.7718863221250638,48.38709677419355
2024,2024-11,local_only_reference,120,1.055900984239504,28.333333333333332
2024,2024-11,open_meteo_augmented,120,0.6372967880248573,44.166666666666664
2024,2024-12,local_only_reference,124,1.3573275013469235,28.225806451612907
2024,2024-12,open_meteo_augmented,124,0.7470353301879153,38.70967741935484
2025,2025-01,local_only_reference,124,1.6812348233574088,12.096774193548388
2025,2025-01,open_meteo_augmented,124,0.9101842298732287,36.29032258064516
2025,2025-02,local_only_reference,112,1.3823822271598456,20.535714285714285
2025,2025-02,open_meteo_augmented,112,1.213805051728889,32.142857142857146
2025,2025-03,local_only_reference,124,1.1689926273564522,29.03225806451613
2025,2025-03,open_meteo_augmented,124,1.0499707536573784,33.064516129032256
2025,2025-04,local_only_reference,120,1.1110010775462922,30.833333333333336
2025,2025-04,open_meteo_augmented,120,0.917538540644647,25.0
2025,2025-05,local_only_reference,124,0.8776253276551477,33.87096774193548
2025,2025-05,open_meteo_augmented,124,0.5898727724867164,53.2258064516129
2025,2025-06,local_only_reference,120,1.3386186351167382,25.833333333333336
2025,2025-06,open_meteo_augmented,120,0.8518297685206335,27.500000000000004
2025,2025-07,local_only_reference,124,1.0217678185252115,36.29032258064516
2025,2025-07,open_meteo_augmented,124,0.7791687574528888,33.87096774193548
2025,2025-08,local_only_reference,124,1.1343082154339375,28.225806451612907
2025,2025-08,open_meteo_augmented,124,0.9373471592474267,28.225806451612907
2025,2025-09,local_only_reference,120,1.3148959440176453,22.5
2025,2025-09,open_meteo_augmented,120,0.7112190352861921,39.166666666666664
2025,2025-10,local_only_reference,124,1.079599431171187,16.93548387096774
2025,2025-10,open_meteo_augmented,124,0.8191824416164647,43.54838709677419
2025,2025-11,local_only_reference,120,1.0664940385164703,33.33333333333333
2025,2025-11,open_meteo_augmented,120,0.7881183569523906,38.333333333333336
2025,2025-12,local_only_reference,124,1.3060853299104114,15.32258064516129
2025,2025-12,open_meteo_augmented,124,0.8811829551000021,33.87096774193548
