test_year,cp,candidate_id,n,mae,exact_bracket_pct
2024,20:00,local_only_reference,366,1.2938687840187189,25.40983606557377
2024,20:00,open_meteo_augmented,366,1.0153115207300847,35.79234972677596
2024,21:00,local_only_reference,366,1.145024672954154,27.86885245901639
2024,21:00,open_meteo_augmented,366,0.9483513251133802,37.15846994535519
2024,22:00,local_only_reference,366,1.1346613104056487,27.049180327868854
2024,22:00,open_meteo_augmented,366,0.9243745168075482,40.98360655737705
2024,23:00,local_only_reference,366,1.1335030034583835,27.595628415300546
2024,23:00,open_meteo_augmented,366,0.9257624355084285,40.7103825136612
2025,20:00,local_only_reference,365,1.3193107959483554,26.027397260273972
2025,20:00,open_meteo_augmented,365,0.887098410034634,34.24657534246575
2025,21:00,local_only_reference,365,1.1945254825343827,27.397260273972602
2025,21:00,open_meteo_augmented,365,0.8522216007151193,37.26027397260274
2025,22:00,local_only_reference,365,1.1607129103201415,23.013698630136986
2025,22:00,open_meteo_augmented,365,0.8681408680491534,35.342465753424655
2025,23:00,local_only_reference,365,1.1473139782337505,25.205479452054796
2025,23:00,open_meteo_augmented,365,0.8667516542748697,34.794520547945204
