test_year,year_month,n_augmented,mae_augmented,exact_bracket_pct_augmented,n_local,mae_local,exact_bracket_pct_local,delta_mae_augmented_minus_local,delta_exact_pct_augmented_minus_local
2024,2024-01,124,3.228293323486537,7.258064516129033,124,1.896157489167913,16.129032258064516,1.332135834318624,-8.870967741935484
2024,2024-02,116,0.89156721821967,31.896551724137932,116,1.317356922875421,19.82758620689655,-0.42578970465575094,12.06896551724138
2024,2024-03,124,0.8390547134531562,42.74193548387097,124,1.1555270902854458,27.419354838709676,-0.31647237683228957,15.322580645161292
2024,2024-04,120,0.8358417470983827,31.666666666666664,120,1.1511265506561732,29.166666666666668,-0.31528480355779054,2.4999999999999964
2024,2024-05,124,0.7378808497966035,36.29032258064516,124,1.218570349899191,17.741935483870968,-0.4806895001025876,18.548387096774192
2024,2024-06,120,0.6075706846596639,47.5,120,1.0050350962008006,25.833333333333336,-0.39746441154113665,21.666666666666664
2024,2024-07,124,0.6551731332769907,50.806451612903224,124,0.8764637702754363,34.67741935483871,-0.22129063699844564,16.129032258064512
2024,2024-08,124,0.7118476024274593,48.38709677419355,124,1.0901573534021078,25.0,-0.3783097509746486,23.38709677419355
2024,2024-09,120,0.7419882030788618,35.833333333333336,120,1.0759051399180493,27.500000000000004,-0.33391693683918744,8.333333333333332
2024,2024-10,124,0.7718863221250638,48.38709677419355,124,0.9171965145827817,43.54838709677419,-0.14531019245771792,4.838709677419359
2024,2024-11,120,0.6372967880248573,44.166666666666664,120,1.055900984239504,28.333333333333332,-0.4186041962146466,15.833333333333332
2024,2024-12,124,0.7470353301879153,38.70967741935484,124,1.3573275013469235,28.225806451612907,-0.6102921711590081,10.483870967741932
2025,2025-01,124,0.9101842298732287,36.29032258064516,124,1.6812348233574088,12.096774193548388,-0.7710505934841801,24.193548387096772
2025,2025-02,112,1.213805051728889,32.142857142857146,112,1.3823822271598456,20.535714285714285,-0.16857717543095663,11.607142857142861
2025,2025-03,124,1.0499707536573784,33.064516129032256,124,1.1689926273564522,29.03225806451613,-0.1190218736990738,4.032258064516125
2025,2025-04,120,0.917538540644647,25.0,120,1.1110010775462922,30.833333333333336,-0.19346253690164517,-5.833333333333336
2025,2025-05,124,0.5898727724867164,53.2258064516129,124,0.8776253276551477,33.87096774193548,-0.28775255516843123,19.354838709677416
2025,2025-06,120,0.8518297685206335,27.500000000000004,120,1.3386186351167382,25.833333333333336,-0.48678886659610465,1.6666666666666679
2025,2025-07,124,0.7791687574528888,33.87096774193548,124,1.0217678185252115,36.29032258064516,-0.24259906107232265,-2.4193548387096797
2025,2025-08,124,0.9373471592474267,28.225806451612907,124,1.1343082154339375,28.225806451612907,-0.19696105618651072,0.0
2025,2025-09,120,0.7112190352861921,39.166666666666664,120,1.3148959440176453,22.5,-0.6036769087314532,16.666666666666664
2025,2025-10,124,0.8191824416164647,43.54838709677419,124,1.079599431171187,16.93548387096774,-0.26041698955472226,26.612903225806452
2025,2025-11,120,0.7881183569523906,38.333333333333336,120,1.0664940385164703,33.33333333333333,-0.27837568156407966,5.000000000000007
2025,2025-12,124,0.8811829551000021,33.87096774193548,124,1.3060853299104114,15.32258064516129,-0.42490237481040927,18.548387096774192
