cp,n_rows,model_mae,null_mae,model_exact_rate,null_exact_rate,model_beats_null,production_status,model_name
20:00,1096,1.137847832327815,1.5894160583941606,0.26824817518248173,0.21624087591240876,true,EXPERIMENT_ONLY,hybrid_local_only
21:00,1096,0.9968701365127765,1.364051094890511,0.32299270072992703,0.23357664233576642,true,EXPERIMENT_ONLY,hybrid_local_only
22:00,1096,0.88441107167443,1.083941605839416,0.36405109489051096,0.2846715328467153,true,EXPERIMENT_ONLY,hybrid_local_only
23:00,1096,0.8179501044738662,0.8312043795620438,0.3895985401459854,0.3722627737226277,true,EXPERIMENT_ONLY,hybrid_local_only
20:00,712,1.1171612362928958,1.547752808988764,0.273876404494382,0.23314606741573032,true,EXPERIMENT_ONLY,hybrid_local_only_covered_rows
21:00,712,0.9919088145341711,1.3328651685393258,0.324438202247191,0.23595505617977527,true,EXPERIMENT_ONLY,hybrid_local_only_covered_rows
22:00,712,0.8682886844307521,1.0632022471910112,0.398876404494382,0.28370786516853935,true,EXPERIMENT_ONLY,hybrid_local_only_covered_rows
23:00,712,0.8248580902698479,0.8230337078651685,0.3848314606741573,0.37640449438202245,false,EXPERIMENT_ONLY,hybrid_local_only_covered_rows
20:00,712,0.7864178861879,1.547752808988764,0.4101123595505618,0.23314606741573032,true,EXPERIMENT_ONLY,hybrid_om_augmented
21:00,712,0.7604253657564264,1.3328651685393258,0.4452247191011236,0.23595505617977527,true,EXPERIMENT_ONLY,hybrid_om_augmented
22:00,712,0.7021228868269344,1.0632022471910112,0.4550561797752809,0.28370786516853935,true,EXPERIMENT_ONLY,hybrid_om_augmented
23:00,712,0.6563173485221251,0.8230337078651685,0.4691011235955056,0.37640449438202245,true,EXPERIMENT_ONLY,hybrid_om_augmented
